model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-1.032797643185567,.48182631,.032079194,49.920048,,229862
"OLS","baseline","var5",5.17507256732684,1.2362417,.000028442397,49.920048,,229862
"IV","baseline","var3",-7.1513340500891,3.898685,.066618681,49.920048,140.59665,229862
"IV","baseline","var5",9.937200707199668,5.3707223,.064285181,49.920048,140.59665,229862
"OLS","rent","var3",-.7910098480355332,.49816296,.11232851,49.920048,,223003
"OLS","rent","var5",3.019721606858576,1.2242155,.013642807,49.920048,,223003
"IV","rent","var3",-6.538642142578997,4.6557641,.16020313,49.920048,96.498886,223003
"IV","rent","var5",7.928367856750924,6.4124355,.21631634,49.920048,96.498886,223003
"OLS","hhi","var3",-1.037093020427887,.48188588,.031391829,49.920048,,229741
"OLS","hhi","var5",5.139314370842477,1.2444918,.000036414149,49.920048,,229741
"IV","hhi","var3",-7.176601570257036,3.8657994,.063399941,49.920048,143.88699,229741
"IV","hhi","var5",9.649695593506507,5.5483837,.082009874,49.920048,143.88699,229741
"OLS","seniority","var3",-1.016645192783653,.48230878,.035048991,49.920048,,229862
"OLS","seniority","var5",5.209562093693819,1.2381533,.000025881032,49.920048,,229862
"IV","seniority","var3",-7.140290621557653,3.9313803,.069343463,49.920048,138.5193,229862
"IV","seniority","var5",9.977144968464511,5.3128824,.060400825,49.920048,138.5193,229862
"OLS","gap","var3",-.3260930134867804,.46073389,.47909352,49.920048,,229862
"OLS","gap","var5",-.9072100037558986,.38466457,.018357053,49.920048,,229862
"IV","gap","var3",-7.100398961806929,3.9053297,.069052555,49.920048,140.31165,229862
"IV","gap","var5",9.709876667153166,5.4130182,.072853386,49.920048,140.31165,229862
"OLS","rent_hhi","var3",-.7932596888982812,.49812144,.11128088,49.920048,,222919
"OLS","rent_hhi","var5",2.968899699307978,1.2323614,.015996438,49.920048,,222919
"IV","rent_hhi","var3",-6.746993439271645,4.649137,.14672327,49.920048,97.630089,222919
"IV","rent_hhi","var5",7.404025670553547,6.5560889,.258764,49.920048,97.630089,222919
"OLS","rent_seniority","var3",-.7661686753209032,.49886453,.12459035,49.920048,,223003
"OLS","rent_seniority","var5",3.063241825221948,1.2257906,.01245925,49.920048,,223003
"IV","rent_seniority","var3",-6.490423842087538,4.7156324,.168718,49.920048,94.202957,223003
"IV","rent_seniority","var5",8.03259770618779,6.3307576,.20451343,49.920048,94.202957,223003
"OLS","rent_gap","var3",-.7846314926965893,.49804619,.1151688,49.920048,,223003
"OLS","rent_gap","var5",2.927192954878749,1.22408,.016792208,49.920048,,223003
"IV","rent_gap","var3",-6.472745584047005,4.6601624,.16485596,49.920048,96.342186,223003
"IV","rent_gap","var5",7.722157455492522,6.4422913,.23066588,49.920048,96.342186,223003
"OLS","hhi_seniority","var3",-1.021526038904341,.48229337,.034176908,49.920048,,229741
"OLS","hhi_seniority","var5",5.196662940237903,1.249391,.000031988853,49.920048,,229741
"IV","hhi_seniority","var3",-7.167780629446728,3.9324532,.0683534,49.920048,139.96049,229741
"IV","hhi_seniority","var5",9.677769187479726,5.4825139,.077537596,49.920048,139.96049,229741
"OLS","hhi_gap","var3",-1.016122022004583,.48181388,.034955714,49.920048,,229741
"OLS","hhi_gap","var5",5.013627979533561,1.2440295,.000055856024,49.920048,,229741
"IV","hhi_gap","var3",-7.125651691683551,3.8720222,.065733641,49.920048,143.59834,229741
"IV","hhi_gap","var5",9.410643089506708,5.5936985,.092506796,49.920048,143.59834,229741
"OLS","seniority_gap","var3",-.9935108232743409,.48223987,.039386593,49.920048,,229862
"OLS","seniority_gap","var5",5.086919632399058,1.2374429,.000039511429,49.920048,,229862
"IV","seniority_gap","var3",-7.082249812643723,3.9396801,.072237536,49.920048,138.11012,229862
"IV","seniority_gap","var5",9.772869111708507,5.3517771,.067843847,49.920048,138.11012,229862
"OLS","rent_hhi_seniority","var3",-.7682898054149659,.49883801,.12353071,49.920048,,222919
"OLS","rent_hhi_seniority","var5",3.043249404385226,1.2370147,.013892469,49.920048,,222919
"IV","rent_hhi_seniority","var3",-6.701947000636356,4.7842259,.16127007,49.920048,92.79332,222919
"IV","rent_hhi_seniority","var5",7.497259077044835,6.4210258,.24297178,49.920048,92.79332,222919
"OLS","rent_hhi_gap","var3",-.7867024052451167,.49800387,.11418205,49.920048,,222919
"OLS","rent_hhi_gap","var5",2.873036583170586,1.2322898,.019734684,49.920048,,222919
"IV","rent_hhi_gap","var3",-6.681450976742924,4.6527925,.15100883,49.920048,97.464066,222919
"IV","rent_hhi_gap","var5",7.178557213182117,6.5898275,.27601188,49.920048,97.464066,222919
"OLS","rent_seniority_gap","var3",-.7578051312391567,.49873158,.1286546,49.920048,,223003
"OLS","rent_seniority_gap","var5",2.96961133245832,1.225459,.015386773,49.920048,,223003
"IV","rent_seniority_gap","var3",-6.414812798971707,4.7217641,.17429398,49.920048,93.97538,223003
"IV","rent_seniority_gap","var5",7.842431493919246,6.3598151,.21753836,49.920048,93.97538,223003
"OLS","hhi_seniority_gap","var3",-.9978347452338021,.48222303,.038530815,49.920048,,229741
"OLS","hhi_seniority_gap","var5",5.074858164086412,1.2486975,.000048316673,49.920048,,229741
"IV","hhi_seniority_gap","var3",-7.100983332550651,3.941319,.071604669,49.920048,139.41499,229741
"IV","hhi_seniority_gap","var5",9.487836999712673,5.5189862,.085599944,49.920048,139.41499,229741
"OLS","rent_hhi_seniority_gap","var3",-.7595434775685597,.49870723,.12776159,49.920048,,222919
"OLS","rent_hhi_seniority_gap","var5",2.949157410136561,1.2367624,.017104002,49.920048,,222919
"IV","rent_hhi_seniority_gap","var3",-6.616164944390675,4.7897887,.16719367,49.920048,92.496552,222919
"IV","rent_hhi_seniority_gap","var5",7.312019211505632,6.4499025,.25694349,49.920048,92.496552,222919
