model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",.0351778073281744,.45293397,.93809378,77.28447,,229862
"OLS","total_contributions_q100","var5",3.348483273346394,1.049727,.0014246384,77.28447,,229862
"OLS","total_contributions_q100","var4",-2.994228973687463,.91057342,.0010089534,77.28447,,229862
"IV","total_contributions_q100","var3",3.879417363694582,3.995425,.33157232,77.28447,140.5966417519619,229862
"IV","total_contributions_q100","var5",.6094645463488948,4.8571873,.90014678,77.28447,140.5966417519619,229862
"IV","total_contributions_q100","var4",-1.425919262463911,3.5214696,.68553752,77.28447,140.5966417519619,229862
"OLS","restricted_contributions_q100","var3",-.3892905806940233,.55314177,.48157388,75.543007,,229862
"OLS","restricted_contributions_q100","var5",4.559222769552928,1.2091991,.00016321625,75.543007,,229862
"OLS","restricted_contributions_q100","var4",-4.187932664881419,1.0454586,.000061924016,75.543007,,229862
"IV","restricted_contributions_q100","var3",5.650281455838888,4.7989922,.23904805,75.543007,140.5966417152694,229862
"IV","restricted_contributions_q100","var5",-2.608400100884237,5.6734085,.64569205,75.543007,140.5966417152694,229862
"IV","restricted_contributions_q100","var4",.7052264261544625,4.0593143,.86207831,75.543007,140.5966417152694,229862
"OLS","total_contributions_we","var3",-6.930976909432843,2.2560868,.0021270136,126.63927,,229862
"OLS","total_contributions_we","var5",22.99405027142539,6.1900177,.00020375512,126.63927,,229862
"OLS","total_contributions_we","var4",-25.20987070149827,5.3560681,2.5259253e-06,126.63927,,229862
"IV","total_contributions_we","var3",-51.4977688042079,17.233782,.0028082777,126.63927,140.5966417519619,229862
"IV","total_contributions_we","var5",62.77134760607296,26.201012,.016591033,126.63927,140.5966417519619,229862
"IV","total_contributions_we","var4",-50.1959600468189,20.236666,.013126367,126.63927,140.5966417519619,229862
"OLS","restricted_contributions_we","var3",-4.439558047982307,1.5095923,.0032747106,77.017738,,229862
"OLS","restricted_contributions_we","var5",16.58477936178627,4.1005101,.000052530162,77.017738,,229862
"OLS","restricted_contributions_we","var4",-19.37245012851978,3.5455089,4.6877865e-08,77.017738,,229862
"IV","restricted_contributions_we","var3",-43.0504080204235,11.690316,.00023123388,77.017738,140.5966417519619,229862
"IV","restricted_contributions_we","var5",53.1674049565748,17.411108,.0022624268,77.017738,140.5966417519619,229862
"IV","restricted_contributions_we","var4",-42.81829990965809,13.363846,.0013563223,77.017738,140.5966417519619,229862
