model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-2.657994954105047,.98556882,.0070228674,50.301693,,52995
"OLS","baseline","var5",9.178957402975497,2.6863484,.00063864922,50.301693,,52995
"IV","baseline","var3",-17.35999037760902,8.716362,.046465222,50.301693,26.053556,52995
"IV","baseline","var5",31.84583315093969,12.283092,.0095525673,50.301693,26.053556,52995
"OLS","rent","var3",-2.200602106232104,1.0271517,.032210067,50.301693,,51405
"OLS","rent","var5",8.035689384411727,2.7261708,.0032181775,50.301693,,51405
"IV","rent","var3",-18.54343974057034,9.8797588,.060592115,50.301693,20.188684,51405
"IV","rent","var5",33.794478935039,14.640717,.021028325,50.301693,20.188684,51405
"OLS","hhi","var3",-2.61212123714662,.98556072,.0080661457,50.301693,,52982
"OLS","hhi","var5",8.67725519029163,2.6997497,.001317185,50.301693,,52982
"IV","hhi","var3",-17.91924453180249,8.6277761,.037861332,50.301693,26.653545,52982
"IV","hhi","var5",29.08662714337187,13.014623,.025468325,50.301693,26.653545,52982
"OLS","seniority","var3",-2.616736039787347,.98668337,.0080266204,50.301693,,52995
"OLS","seniority","var5",9.244882988503045,2.6854429,.00058107142,50.301693,,52995
"IV","seniority","var3",-17.30545982919669,8.8055687,.049438521,50.301693,25.541304,52995
"IV","seniority","var5",32.04551723476061,12.094633,.0080858562,50.301693,25.541304,52995
"OLS","gap","var3",-1.368962965383041,.94882637,.14914291,50.301693,,52995
"OLS","gap","var5",-3.894472730091762,.81345379,1.7386142e-06,50.301693,,52995
"IV","gap","var3",-17.31791783845111,8.7278261,.047288068,50.301693,26.073862,52995
"IV","gap","var5",31.74774531869539,12.331309,.010066227,50.301693,26.073862,52995
"OLS","rent_hhi","var3",-2.166522088861673,1.0266635,.034889147,50.301693,,51392
"OLS","rent_hhi","var5",7.468223373101141,2.7358487,.0063615935,50.301693,,51392
"IV","rent_hhi","var3",-19.3324185711404,9.7913723,.048390936,50.301693,20.652271,51392
"IV","rent_hhi","var5",30.44804480246127,15.419135,.048361607,50.301693,20.652271,51392
"OLS","rent_seniority","var3",-2.133335692437715,1.0298001,.038357094,50.301693,,51405
"OLS","rent_seniority","var5",8.100527165664582,2.7219408,.002935135,50.301693,,51405
"IV","rent_seniority","var3",-18.49266834103729,10.030654,.065302208,50.301693,19.580246,51405
"IV","rent_seniority","var5",33.92896203901395,14.361491,.018192915,50.301693,19.580246,51405
"OLS","rent_gap","var3",-2.189948915754532,1.0266364,.032965772,50.301693,,51405
"OLS","rent_gap","var5",7.878681510203297,2.7233152,.0038327873,50.301693,,51405
"IV","rent_gap","var3",-18.48113711255388,9.8800163,.061468638,50.301693,20.198088,51405
"IV","rent_gap","var5",33.73792014967343,14.65211,.021345003,50.301693,20.198088,51405
