model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-1.032797643185322,.48182631,.032079194,49.920048,,229862
"OLS","baseline","var5",5.175072567327998,1.2362417,.000028442397,49.920048,,229862
"IV","baseline","var3",-7.151334050088047,3.898685,.066618681,49.920048,140.59665,229862
"IV","baseline","var5",9.937200707200935,5.3707223,.064285181,49.920048,140.59665,229862
"OLS","rent","var3",-.7910098480355351,.49816296,.11232851,49.920048,,223003
"OLS","rent","var5",3.019721606859017,1.2242155,.013642807,49.920048,,223003
"IV","rent","var3",-6.538642142576121,4.6557641,.16020313,49.920048,96.498886,223003
"IV","rent","var5",7.92836785675373,6.4124355,.21631634,49.920048,96.498886,223003
"OLS","hhi","var3",-1.037093020427651,.48188588,.031391829,49.920048,,229741
"OLS","hhi","var5",5.139314370842447,1.2444918,.000036414149,49.920048,,229741
"IV","hhi","var3",-7.176601570252545,3.8657994,.063399941,49.920048,143.88699,229741
"IV","hhi","var5",9.649695593500629,5.5483837,.082009874,49.920048,143.88699,229741
"OLS","seniority","var3",-1.016645192783452,.48230878,.035048991,49.920048,,229862
"OLS","seniority","var5",5.209562093694889,1.2381533,.000025881032,49.920048,,229862
"IV","seniority","var3",-7.140290621556607,3.9313803,.069343463,49.920048,138.5193,229862
"IV","seniority","var5",9.977144968464673,5.3128824,.060400825,49.920048,138.5193,229862
"OLS","gap","var3",-.3260930134865591,.46073389,.47909352,49.920048,,229862
"OLS","gap","var5",-.9072100037559676,.38466457,.018357053,49.920048,,229862
"IV","gap","var3",-7.100398961805877,3.9053297,.069052555,49.920048,140.31165,229862
"IV","gap","var5",9.709876667154303,5.4130182,.072853386,49.920048,140.31165,229862
"OLS","rent_hhi","var3",-.7932596888977785,.49812144,.11128088,49.920048,,222919
"OLS","rent_hhi","var5",2.968899699308275,1.2323614,.015996438,49.920048,,222919
"IV","rent_hhi","var3",-6.74699343927957,4.649137,.14672327,49.920048,97.630089,222919
"IV","rent_hhi","var5",7.404025670567311,6.5560889,.258764,49.920048,97.630089,222919
"OLS","rent_seniority","var3",-.7661686753209835,.49886453,.12459035,49.920048,,223003
"OLS","rent_seniority","var5",3.063241825222208,1.2257906,.01245925,49.920048,,223003
"IV","rent_seniority","var3",-6.490423842085242,4.7156324,.168718,49.920048,94.202957,223003
"IV","rent_seniority","var5",8.03259770618984,6.3307576,.20451343,49.920048,94.202957,223003
"OLS","rent_gap","var3",-.7846314926966158,.49804619,.1151688,49.920048,,223003
"OLS","rent_gap","var5",2.927192954879375,1.22408,.016792208,49.920048,,223003
"IV","rent_gap","var3",-6.472745584045506,4.6601624,.16485596,49.920048,96.342186,223003
"IV","rent_gap","var5",7.722157455497791,6.4422913,.23066588,49.920048,96.342186,223003
"OLS","hhi_seniority","var3",-1.021526038904119,.48229337,.034176908,49.920048,,229741
"OLS","hhi_seniority","var5",5.196662940237829,1.249391,.000031988853,49.920048,,229741
"IV","hhi_seniority","var3",-7.167780629442288,3.9324532,.0683534,49.920048,139.96049,229741
"IV","hhi_seniority","var5",9.677769187473913,5.4825139,.077537596,49.920048,139.96049,229741
"OLS","hhi_gap","var3",-1.016122022004375,.48181388,.034955714,49.920048,,229741
"OLS","hhi_gap","var5",5.013627979533747,1.2440295,.000055856024,49.920048,,229741
"IV","hhi_gap","var3",-7.125651691678867,3.8720222,.065733641,49.920048,143.59834,229741
"IV","hhi_gap","var5",9.410643089500391,5.5936985,.092506796,49.920048,143.59834,229741
"OLS","seniority_gap","var3",-.9935108232741094,.48223987,.039386593,49.920048,,229862
"OLS","seniority_gap","var5",5.086919632399925,1.2374429,.000039511429,49.920048,,229862
"IV","seniority_gap","var3",-7.08224981264306,3.9396801,.072237536,49.920048,138.11012,229862
"IV","seniority_gap","var5",9.772869111709436,5.3517771,.067843847,49.920048,138.11012,229862
"OLS","rent_hhi_seniority","var3",-.7682898054144104,.49883801,.12353071,49.920048,,222919
"OLS","rent_hhi_seniority","var5",3.043249404385654,1.2370147,.013892469,49.920048,,222919
"IV","rent_hhi_seniority","var3",-6.701947000644234,4.7842259,.16127007,49.920048,92.79332,222919
"IV","rent_hhi_seniority","var5",7.497259077059698,6.4210258,.24297178,49.920048,92.79332,222919
"OLS","rent_hhi_gap","var3",-.7867024052446329,.49800387,.11418205,49.920048,,222919
"OLS","rent_hhi_gap","var5",2.873036583171076,1.2322898,.019734684,49.920048,,222919
"IV","rent_hhi_gap","var3",-6.681450976751187,4.6527925,.15100883,49.920048,97.464066,222919
"IV","rent_hhi_gap","var5",7.178557213196581,6.5898275,.27601188,49.920048,97.464066,222919
"OLS","rent_seniority_gap","var3",-.7578051312392662,.49873158,.1286546,49.920048,,223003
"OLS","rent_seniority_gap","var5",2.969611332458774,1.225459,.015386773,49.920048,,223003
"IV","rent_seniority_gap","var3",-6.414812798970017,4.7217641,.17429398,49.920048,93.97538,223003
"IV","rent_seniority_gap","var5",7.842431493922227,6.3598151,.21753836,49.920048,93.97538,223003
"OLS","hhi_seniority_gap","var3",-.9978347452336064,.48222303,.038530815,49.920048,,229741
"OLS","hhi_seniority_gap","var5",5.074858164086571,1.2486975,.000048316673,49.920048,,229741
"IV","hhi_seniority_gap","var3",-7.100983332546101,3.941319,.071604669,49.920048,139.41499,229741
