model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-1.032797643185322,.48182631,.032079194,49.920048,,229862
"OLS","baseline","var5",5.175072567327998,1.2362417,.000028442397,49.920048,,229862
"IV","baseline","var3",-7.151334050088047,3.898685,.066618681,49.920048,140.59665,229862
"IV","baseline","var5",9.937200707200935,5.3707223,.064285181,49.920048,140.59665,229862
"OLS","rent","var3",-1.898341844244418,1.1312747,.09334521,49.920048,,223003
"OLS","rent","var5",2.838743462529298,1.2362206,.021664174,49.920048,,223003
"IV","rent","var3",1614.760228197198,2567.2847,.52936918,49.920048,.13658817,208209
"IV","rent","var5",-136.3604890044016,236.84377,.56479466,49.920048,.13658817,208209
"OLS","hhi","var3",-.526694295047705,.5945949,.37572935,49.920048,,229741
"OLS","hhi","var5",5.584976477981139,1.285314,.0000139517,49.920048,,229741
"IV","hhi","var3",-3684.243056196522,164768.92,.98216087,49.920048,.00016587329,214370
"IV","hhi","var5",-2647.93682540329,119195.68,.98227656,49.920048,.00016587329,214370
"OLS","seniority","var3",3.606528488397734,5.7992744,.53401613,49.920048,,229862
"OLS","seniority","var5",5.048937081426147,1.24479,.00005001411,49.920048,,229862
"IV","seniority","var3",-51324.00507721953,88996.32,.56414723,49.920048,.11234424,214482
"IV","seniority","var5",-659.1930721141822,1228.1199,.59144396,49.920048,.11234424,214482
"OLS","gap","var3",3.356470448839386,1.5632229,.031788222,49.920048,,229862
"OLS","gap","var5",5.021332984819812,1.2335428,.000046980844,49.920048,,229862
"IV","gap","var3",392.7512816819709,422.92926,.3530795,49.920048,.30820978,214482
"IV","gap","var5",-106.4321214699376,130.25951,.4138898,49.920048,.30820978,214482
"OLS","rent_hhi","var3",-1.389610199133013,1.1752537,.23705843,49.920048,,222919
"OLS","rent_hhi","var5",3.298780301771834,1.2801491,.0099739572,49.920048,,222919
"IV","rent_hhi","var3",478.367174210144,788.92474,.54428428,49.920048,.30073139,208127
"IV","rent_hhi","var5",63.78022770604967,215.26257,.76701021,49.920048,.30073139,208127
"OLS","rent_seniority","var3",4.087033561664041,5.8028445,.48124099,49.920048,,223003
"OLS","rent_seniority","var5",2.659818927253838,1.2431266,.03239239,49.920048,,223003
"IV","rent_seniority","var3",2960.933706539419,4621.3359,.52171588,49.920048,.10114172,208209
"IV","rent_seniority","var5",-67.74336191299366,192.85924,.72539699,49.920048,.10114172,208209
"OLS","rent_gap","var3",2.190314549327011,1.9029686,.24974063,49.920048,,223003
"OLS","rent_gap","var5",2.736982396871484,1.2347757,.026658041,49.920048,,223003
"IV","rent_gap","var3",-670.5378266301135,7445.7661,.92824304,49.920048,.008734093,208209
"IV","rent_gap","var5",-507.0690823689833,2079.3293,.80733931,49.920048,.008734093,208209
"OLS","hhi_seniority","var3",5.252028551349629,5.8969727,.37313297,49.920048,,229741
"OLS","hhi_seniority","var5",5.42689216542724,1.290041,.000025968879,49.920048,,229741
"IV","hhi_seniority","var3",2182.519191554586,6953.6421,.75362396,49.920048,.067555763,214370
"IV","hhi_seniority","var5",143.7266922816763,100.03759,.1508048,49.920048,.067555763,214370
"OLS","hhi_gap","var3",3.623591731530224,1.5873877,.022451587,49.920048,,229741
"OLS","hhi_gap","var5",5.355443735709263,1.2812973,.000029258146,49.920048,,229741
"IV","hhi_gap","var3",366.7324127686227,292.27527,.20957808,49.920048,.10039918,214370
"IV","hhi_gap","var5",-86.85909884082248,104.47646,.40576774,49.920048,.10039918,214370
"OLS","seniority_gap","var3",8.217546437760049,6.0680871,.1756736,49.920048,,229862
"OLS","seniority_gap","var5",4.881293542730087,1.2407719,.000083674204,49.920048,,229862
"IV","seniority_gap","var3",-13850.97388085229,39127.703,.72334552,49.920048,.04338425,214482
"IV","seniority_gap","var5",-553.717121203646,898.81885,.53786582,49.920048,.04338425,214482
"OLS","rent_hhi_seniority","var3",5.756219713574971,5.8918023,.3285819,49.920048,,222919
"OLS","rent_hhi_seniority","var5",3.082339249818478,1.2832482,.016311705,49.920048,,222919
"IV","rent_hhi_seniority","var3",1758.103303705082,2378.1914,.45975396,49.920048,.13768372,208127
"IV","rent_hhi_seniority","var5",95.45177925468883,199.05035,.63156062,49.920048,.13768372,208127
"OLS","rent_hhi_gap","var3",2.438619338655043,1.9168413,.20330799,49.920048,,222919
"OLS","rent_hhi_gap","var5",3.113635747114163,1.2776693,.014816064,49.920048,,222919
"IV","rent_hhi_gap","var3",737.381704570028,8406.1631,.93010038,49.920048,.00097012328,208127
"IV","rent_hhi_gap","var5",1589.939470570611,22874.748,.94458699,49.920048,.00097012328,208127
"OLS","rent_seniority_gap","var3",8.360799684556621,6.069664,.16837484,49.920048,,223003
"OLS","rent_seniority_gap","var5",2.543113282579641,1.2405039,.040365569,49.920048,,223003
"IV","rent_seniority_gap","var3",12481.53880541313,64336.375,.84617364,49.920048,.0075062872,208209
"IV","rent_seniority_gap","var5",683.229072778043,4059.3943,.86634189,49.920048,.0075062872,208209
"OLS","hhi_seniority_gap","var3",9.466127078592976,6.1434398,.12336183,49.920048,,229741
"OLS","hhi_seniority_gap","var5",5.194075982453191,1.285071,.000053139931,49.920048,,229741
"IV","hhi_seniority_gap","var3",9846.549094991169,58067.266,.86534822,49.920048,.0067614899,214370
"IV","hhi_seniority_gap","var5",616.1518848156618,3171.6326,.84596592,49.920048,.0067614899,214370
