model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.0032223244206743,.0046965387,.49269149,.11423093,,41980
"OLS","baseline","var5",.0699523298961702,.023694638,.0031756724,.11423093,,41980
"IV","baseline","var3",.0057808689670513,.0093487939,.53638178,.11423093,16.529673,41980
"IV","baseline","var5",.2088020915325492,.10175639,.040245675,.11423093,16.529673,41980
"OLS","rent","var3",-.0010396167849385,.0060826312,.86430079,.11423093,,38794
"OLS","rent","var5",.0664222463894876,.024979165,.0078733703,.11423093,,38794
"IV","rent","var3",-.0064776329442466,.011864003,.58511007,.11423093,10.42611,38794
"IV","rent","var5",.2099889435615168,.11206326,.061041985,.11423093,10.42611,38794
"OLS","hhi","var3",-.0155269560844837,.0065731425,.018222164,.11423093,,41946
"OLS","hhi","var5",.063156166858645,.023735091,.0078293076,.11423093,,41946
"IV","hhi","var3",-.0311386655581601,.014474681,.031524647,.11423093,10.846235,41946
"IV","hhi","var5",.1926881934859709,.10178372,.058425099,.11423093,10.846235,41946
"OLS","seniority","var3",.0360885808479395,.020988256,.085617892,.11423093,,41980
"OLS","seniority","var5",.0653323835243573,.023237491,.0049583819,.11423093,,41980
"IV","seniority","var3",-.0031630058602127,.067223877,.96247458,.11423093,11.08926,41980
"IV","seniority","var5",.1574065600561387,.094165996,.094695203,.11423093,11.08926,41980
"OLS","gap","var3",-.0056074949218746,.0062502157,.36969084,.11423093,,41943
"OLS","gap","var5",.0693170704433381,.023617106,.0033567767,.11423093,,41943
"IV","gap","var3",-.0079060310986969,.013980456,.5717659,.11423093,10.752879,41943
"IV","gap","var5",.2170979731564713,.10362548,.036240455,.11423093,10.752879,41943
"OLS","rent_hhi","var3",-.0207096287841885,.0079576848,.0092977509,.11423093,,38760
"OLS","rent_hhi","var5",.0592198167711242,.025006477,.017934348,.11423093,,38760
"IV","rent_hhi","var3",-.0400623990480685,.017332535,.020873392,.11423093,7.8604641,38760
"IV","rent_hhi","var5",.1948558535093102,.11269157,.08388523,.11423093,7.8604641,38760
"OLS","rent_seniority","var3",.0262569496849053,.023066068,.2550641,.11423093,,38794
"OLS","rent_seniority","var5",.0630847777928232,.024456166,.0099378992,.11423093,,38794
"IV","rent_seniority","var3",-.021677866779934,.073966429,.76948196,.11423093,7.9661908,38794
"IV","rent_seniority","var5",.1569576162978019,.10250365,.12580785,.11423093,7.9661908,38794
"OLS","rent_gap","var3",-.0116436070420881,.0073538097,.11344091,.11423093,,38763
"OLS","rent_gap","var5",.0654346374979515,.024925718,.0087009249,.11423093,,38763
"IV","rent_gap","var3",-.0208168367493833,.014126489,.14068577,.11423093,7.5546837,38763
"IV","rent_gap","var5",.21822713141767,.1144316,.056602184,.11423093,7.5546837,38763
"OLS","hhi_seniority","var3",.0132737025498944,.022961885,.56325036,.11423093,,41946
"OLS","hhi_seniority","var5",.0649723564733638,.023268741,.0052625495,.11423093,,41946
"IV","hhi_seniority","var3",-.0529733812628102,.069125414,.44352731,.11423093,8.2438707,41946
"IV","hhi_seniority","var5",.1659409712322751,.095116191,.081139944,.11423093,8.2438707,41946
"OLS","hhi_gap","var3",-.0236101700734782,.0076923589,.002162056,.11423093,,41920
"OLS","hhi_gap","var5",.0621156260661918,.023647152,.0086575747,.11423093,,41920
"IV","hhi_gap","var3",-.0475658425222194,.018041829,.0084156273,.11423093,8.1519775,41920
"IV","hhi_gap","var5",.1890479754713711,.10274652,.065860957,.11423093,8.1519775,41920
"OLS","seniority_gap","var3",.0279866988127637,.021299664,.18894903,.11423093,,41943
"OLS","seniority_gap","var5",.0651414662848422,.023126904,.0048792181,.11423093,,41943
"IV","seniority_gap","var3",-.0179300956956922,.069531031,.79652095,.11423093,8.1471043,41943
"IV","seniority_gap","var5",.1683349476754038,.095562264,.078237504,.11423093,8.1471043,41943
"OLS","rent_hhi_seniority","var3",.0021397519476178,.025109159,.93209338,.11423093,,38760
"OLS","rent_hhi_seniority","var5",.0624917986342339,.0244716,.010705641,.11423093,,38760
"IV","rent_hhi_seniority","var3",-.0655511085059781,.076027982,.38864297,.11423093,6.4948926,38760
"IV","rent_hhi_seniority","var5",.1674850064697759,.10395369,.10724454,.11423093,6.4948926,38760
