model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.0032223244206743,.0046965387,.49269149,.11423093,,41980
"OLS","baseline","var5",.0699523298961702,.023694638,.0031756724,.11423093,,41980
"IV","baseline","var3",.0057808689670513,.0093487939,.53638178,.11423093,16.529673,41980
"IV","baseline","var5",.2088020915325492,.10175639,.040245675,.11423093,16.529673,41980
"OLS","rent","var3",.0040306455957898,.0048934198,.41017812,.11423093,,38794
"OLS","rent","var5",.0679617670273606,.025055151,.0067133228,.11423093,,38794
"IV","rent","var3",.0167540691776798,.01004989,.095593162,.11423093,14.170053,38794
"IV","rent","var5",.2063129306026395,.11074072,.062548891,.11423093,14.170053,38794
"OLS","hhi","var3",.0041589590882883,.0047353446,.37985197,.11423093,,41946
"OLS","hhi","var5",.0732921800167781,.023113808,.001532663,.11423093,,41946
"IV","hhi","var3",.0191606339568133,.0093034562,.039518431,.11423093,16.284124,41946
"IV","hhi","var5",.1656981865607955,.094885327,.080846637,.11423093,16.284124,41946
"OLS","seniority","var3",-.0009644081292115,.0046661915,.83627182,.11423093,,41980
"OLS","seniority","var5",.0726780175858369,.02321486,.0017584393,.11423093,,41980
"IV","seniority","var3",.0008945110335104,.0092101246,.9226346,.11423093,16.569712,41980
"IV","seniority","var5",.1562489758763751,.095959738,.10355611,.11423093,16.569712,41980
"OLS","gap","var3",.0026741861834253,.0046906751,.56864178,.11423093,,41943
"OLS","gap","var5",.0700201050426423,.023703109,.0031572473,.11423093,,41943
"IV","gap","var3",.0025640972751718,.0094117103,.78530216,.11423093,16.178974,41943
"IV","gap","var5",.2225866825039116,.10238658,.029773194,.11423093,16.178974,41943
"OLS","rent_hhi","var3",.0039354963700889,.0049605505,.42762697,.11423093,,38760
"OLS","rent_hhi","var5",.072256979151516,.024463812,.0031632595,.11423093,,38760
"IV","rent_hhi","var3",.0265513870120376,.010304343,.010018256,.11423093,13.96141,38760
"IV","rent_hhi","var5",.1637602540416631,.10303713,.1120831,.11423093,13.96141,38760
"OLS","rent_seniority","var3",-.001155117374416,.0048918002,.81334406,.11423093,,38794
"OLS","rent_seniority","var5",.071885002112414,.02456647,.0034557844,.11423093,,38794
"IV","rent_seniority","var3",.0077319009174297,.0099362591,.43653733,.11423093,14.274483,38794
"IV","rent_seniority","var5",.1513264033368207,.10425368,.14673164,.11423093,14.274483,38794
"OLS","rent_gap","var3",.0035151771993178,.0048822849,.47158554,.11423093,,38763
"OLS","rent_gap","var5",.0670372381685036,.025117263,.0076463958,.11423093,,38763
"IV","rent_gap","var3",.0134799994537959,.010177452,.18543175,.11423093,13.808417,38763
"IV","rent_gap","var5",.2191491065196194,.11176872,.049995307,.11423093,13.808417,38763
"OLS","hhi_seniority","var3",.0022655632863016,.004726633,.63174194,.11423093,,41946
"OLS","hhi_seniority","var5",.0740359940311055,.022993719,.0012943663,.11423093,,41946
"IV","hhi_seniority","var3",.015506734867646,.009332356,.096680559,.11423093,16.256863,41946
"IV","hhi_seniority","var5",.1531691471239922,.094377004,.10469016,.11423093,16.256863,41946
"OLS","hhi_gap","var3",.0035263525252854,.0047210618,.45514965,.11423093,,41920
"OLS","hhi_gap","var5",.0727085501856866,.023103062,.0016626331,.11423093,,41920
"IV","hhi_gap","var3",.0154218102648052,.0093867453,.10048635,.11423093,16.237362,41920
"IV","hhi_gap","var5",.1677801793900593,.094570115,.076127775,.11423093,16.237362,41920
"OLS","seniority_gap","var3",-.0016574181920658,.0046521886,.72166258,.11423093,,41943
"OLS","seniority_gap","var5",.0727473875301637,.023207743,.0017350315,.11423093,,41943
"IV","seniority_gap","var3",-.00304879877981,.009258884,.74196106,.11423093,16.198189,41943
"IV","seniority_gap","var5",.1694260432209049,.096255466,.078466192,.11423093,16.198189,41943
"OLS","rent_hhi_seniority","var3",.0015178447111916,.0049333898,.75835502,.11423093,,38760
"OLS","rent_hhi_seniority","var5",.0734903039026301,.024320921,.0025333546,.11423093,,38760
"IV","rent_hhi_seniority","var3",.0212911239217159,.010329901,.039371733,.11423093,13.992031,38760
"IV","rent_hhi_seniority","var5",.1490381588994089,.10237799,.14555497,.11423093,13.992031,38760
"OLS","rent_hhi_gap","var3",.0034136128554371,.0049463636,.49016464,.11423093,,38740
