model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.003222324420676,.0046965387,.49269149,.11423093,,41980
"OLS","baseline","var5",.0699523298961702,.023694638,.0031756724,.11423093,,41980
"IV","baseline","var3",.0057808689670521,.0093487939,.53638178,.11423093,16.529673,41980
"IV","baseline","var5",.2088020915325302,.10175639,.040245675,.11423093,16.529673,41980
"OLS","rent","var3",.0031436503821128,.0048646671,.51818198,.11423093,,38794
"OLS","rent","var5",.0670082831252604,.025455529,.0085194604,.11423093,,38794
"IV","rent","var3",.0128760078234269,.0098257456,.19014134,.11423093,14.38824,38794
"IV","rent","var5",.2074879001190905,.11348204,.067584932,.11423093,14.38824,38794
"OLS","hhi","var3",.0036846137968654,.0048066787,.44339406,.11423093,,41946
"OLS","hhi","var5",.0657519909408862,.023521593,.0052119899,.11423093,,41946
"IV","hhi","var3",.0076939873351895,.0098607894,.43529013,.11423093,15.267595,41946
"IV","hhi","var5",.1875466636457969,.10230123,.066845991,.11423093,15.267595,41946
"OLS","seniority","var3",.0008587790399012,.0045861229,.85147077,.11423093,,41980
"OLS","seniority","var5",.070030759200172,.02308885,.0024382903,.11423093,,41980
"IV","seniority","var3",.003021948960755,.0092590135,.74415696,.11423093,16.463011,41980
"IV","seniority","var5",.1214527766687774,.093818858,.1955623,.11423093,16.463011,41980
"OLS","gap","var3",.0028695708752143,.0046731262,.53921682,.11423093,,41943
"OLS","gap","var5",.0707884909775071,.023670282,.0028036395,.11423093,,41943
"IV","gap","var3",.0046179301767845,.0093461396,.62126637,.11423093,16.210943,41943
"IV","gap","var5",.22129256735456,.10252297,.030959219,.11423093,16.210943,41943
"OLS","rent_hhi","var3",.003574778528576,.0049530817,.47051376,.11423093,,38760
"OLS","rent_hhi","var5",.0607782373422456,.025304006,.01636526,.11423093,,38760
"IV","rent_hhi","var3",.0151924648455272,.010367968,.14292888,.11423093,13.050648,38760
"IV","rent_hhi","var5",.1815478518056535,.11531074,.11548752,.11423093,13.050648,38760
"OLS","rent_seniority","var3",.000672134345656,.0047683348,.88791198,.11423093,,38794
"OLS","rent_seniority","var5",.0663153536581175,.024892157,.0077575413,.11423093,,38794
"IV","rent_seniority","var3",.0092157807486434,.0097061694,.34244907,.11423093,14.373926,38794
"IV","rent_seniority","var5",.1046564684090079,.10534173,.32054305,.11423093,14.373926,38794
"OLS","rent_gap","var3",.0028645959721917,.0048379176,.55381602,.11423093,,38763
"OLS","rent_gap","var5",.0672731833588377,.025467955,.0082940916,.11423093,,38763
"IV","rent_gap","var3",.0118462999478964,.0098015731,.22690023,.11423093,14.076982,38763
"IV","rent_gap","var5",.2200599377211089,.114375,.054439522,.11423093,14.076982,38763
"OLS","hhi_seniority","var3",.0003882075552325,.0046754181,.93383116,.11423093,,41946
"OLS","hhi_seniority","var5",.0698144676976793,.023073606,.0024983811,.11423093,,41946
"IV","hhi_seniority","var3",.0015903892730808,.009938688,.8728745,.11423093,15.67407,41946
"IV","hhi_seniority","var5",.1303150793674346,.095077947,.17058346,.11423093,15.67407,41946
"OLS","hhi_gap","var3",.0033397684054145,.004782205,.48498967,.11423093,,41920
"OLS","hhi_gap","var5",.0660837181766815,.0234909,.0049330723,.11423093,,41920
"IV","hhi_gap","var3",.0065435581942371,.0098502683,.50654054,.11423093,15.263981,41920
"IV","hhi_gap","var5",.1890161039128655,.10223757,.064572051,.11423093,15.263981,41920
"OLS","seniority_gap","var3",.0003532441619783,.0045559923,.93820322,.11423093,,41943
"OLS","seniority_gap","var5",.0710851648393296,.023056101,.0020642502,.11423093,,41943
"IV","seniority_gap","var3",.0014303274289408,.0092666028,.87734038,.11423093,16.151667,41943
"IV","seniority_gap","var5",.1347195624340136,.094005711,.15191863,.11423093,16.151667,41943
"OLS","rent_hhi_seniority","var3",.0003336592464972,.0048510707,.94516855,.11423093,,38760
"OLS","rent_hhi_seniority","var5",.0651997331713115,.024867406,.008785205,.11423093,,38760
"IV","rent_hhi_seniority","var3",.0084905379565105,.010400775,.41436747,.11423093,13.570141,38760
"IV","rent_hhi_seniority","var5",.1131647064003914,.10714761,.2909753,.11423093,13.570141,38760
"OLS","rent_hhi_gap","var3",.0033013371571075,.0049253269,.50272864,.11423093,,38740
"OLS","rent_hhi_gap","var5",.0607036978163087,.025292622,.016448822,.11423093,,38740
"IV","rent_hhi_gap","var3",.0141691165611611,.010330973,.17030872,.11423093,13.030825,38740
"IV","rent_hhi_gap","var5",.1821442916648173,.11523797,.11406906,.11423093,13.030825,38740
"OLS","rent_seniority_gap","var3",.0002645984427434,.0047401479,.95548809,.11423093,,38763
"OLS","rent_seniority_gap","var5",.066837626633666,.024880385,.0072604707,.11423093,,38763
"IV","rent_seniority_gap","var3",.0077876525968418,.0096980426,.42202631,.11423093,14.076843,38763
"IV","rent_seniority_gap","var5",.1183489326506491,.10543176,.26172599,.11423093,14.076843,38763
"OLS","hhi_seniority_gap","var3",-.0001127849219712,.0046446244,.98062837,.11423093,,41920
"OLS","hhi_seniority_gap","var5",.0703019978984771,.023036143,.0022917236,.11423093,,41920
"IV","hhi_seniority_gap","var3",-.0000817323511974,.0099465474,.9934442,.11423093,15.668771,41920
"IV","hhi_seniority_gap","var5",.1323546246668292,.094979614,.16355552,.11423093,15.668771,41920
"OLS","rent_hhi_seniority_gap","var3",-.0000778067499059,.0048216647,.98712617,.11423093,,38740
"OLS","rent_hhi_seniority_gap","var5",.0652686904170249,.024845986,.0086565679,.11423093,,38740
"IV","rent_hhi_seniority_gap","var3",.0069713735147832,.010388954,.50224483,.11423093,13.548112,38740
"IV","rent_hhi_seniority_gap","var5",.1143101935211946,.1070397,.28563482,.11423093,13.548112,38740
