model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-.0044964013206309,.0043697176,.30355474,.11423093,,41980
"OLS","baseline","var5",.0548971578190718,.017107392,.0013441042,.11423093,,41980
"IV","baseline","var3",.0066399141414838,.010750897,.53686935,.11423093,14.262471,41980
"IV","baseline","var5",.1820600504247648,.091004685,.045517121,.11423093,14.262471,41980
"OLS","rent","var3",-.0028951693968588,.0044520348,.51554292,.11423093,,38794
"OLS","rent","var5",.0500267698788663,.017550102,.0043924781,.11423093,,38794
"IV","rent","var3",.0196436422391655,.01124715,.080811195,.11423093,11.739013,38794
"IV","rent","var5",.1756032235816491,.10179599,.084613726,.11423093,11.739013,38794
"OLS","hhi","var3",-.0057598378677864,.0043101637,.18152548,.11423093,,41946
"OLS","hhi","var5",.0573843046051254,.016722867,.00060723448,.11423093,,41946
"IV","hhi","var3",.0142444482541518,.0102691,.16549422,.11423093,13.613236,41946
"IV","hhi","var5",.1235044258527978,.08569634,.14962137,.11423093,13.613236,41946
"OLS","seniority","var3",-.0071902462522,.0042916089,.09394107,.11423093,,41980
"OLS","seniority","var5",.0522074009817571,.016731629,.0018214611,.11423093,,41980
"IV","seniority","var3",.0035028311743823,.010740615,.74434584,.11423093,13.371097,41980
"IV","seniority","var5",.1100023633865609,.086724587,.20473562,.11423093,13.371097,41980
"OLS","gap","var3",-.0047303798525254,.0043563894,.27762067,.11423093,,41943
"OLS","gap","var5",.0543547178277839,.017157821,.0015485185,.11423093,,41943
"IV","gap","var3",.0041884683716123,.010713075,.69584477,.11423093,13.474728,41943
"IV","gap","var5",.1963354504464641,.093691565,.036193684,.11423093,13.474728,41943
"OLS","rent_hhi","var3",-.0040476251009418,.0044196132,.35982305,.11423093,,38760
"OLS","rent_hhi","var5",.0519216913528776,.017168142,.0025116296,.11423093,,38760
"IV","rent_hhi","var3",.0246672574909168,.011000607,.025005979,.11423093,11.157297,38760
"IV","rent_hhi","var5",.1069648055695451,.095689699,.26372266,.11423093,11.157297,38760
"OLS","rent_seniority","var3",-.0055937996228584,.0043862425,.20229249,.11423093,,38794
"OLS","rent_seniority","var5",.0469592424116032,.017176701,.0062930733,.11423093,,38794
"IV","rent_seniority","var3",.0156411934690597,.011257571,.16480863,.11423093,10.917496,38794
"IV","rent_seniority","var5",.0886444324126157,.097831845,.36495572,.11423093,10.917496,38794
"OLS","rent_gap","var3",-.0030729733364081,.0044368813,.48861182,.11423093,,38763
"OLS","rent_gap","var5",.0482913194847161,.017680088,.0063408772,.11423093,,38763
"IV","rent_gap","var3",.0169550250639671,.011232415,.13127564,.11423093,10.778062,38763
"IV","rent_gap","var5",.1893736275636032,.10672136,.076079793,.11423093,10.778062,38763
"OLS","hhi_seniority","var3",-.0068992154706338,.0042792526,.10699818,.11423093,,41946
"OLS","hhi_seniority","var5",.0568404862195898,.016748583,.00069709099,.11423093,,41946
"IV","hhi_seniority","var3",.0118095381516827,.010392862,.2559036,.11423093,12.743442,41946
"IV","hhi_seniority","var5",.111694623672773,.088916406,.2091361,.11423093,12.743442,41946
"OLS","hhi_gap","var3",-.006048242867784,.004291899,.15885817,.11423093,,41920
