model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.0011429865617893,.004898821,.81552881,.11683787,,38436
"OLS","baseline","var5",.0702578985955497,.025124455,.0051984191,.11683787,,38436
"IV","baseline","var3",.0101047367516259,.0090650544,.26506633,.11683787,14.561452,38436
"IV","baseline","var5",.1572476929654453,.10013201,.11641988,.11683787,14.561452,38436
"OLS","rent","var3",.0068643598034948,.011385536,.54661667,.11683787,,38436
"OLS","rent","var5",.0706848698041715,.025615053,.005821785,.11683787,,38436
"IV","rent","var3",-.1129942311796562,.043367371,.0092161102,.11683787,11.266614,38436
"IV","rent","var5",.1392547182136998,.099329554,.16102803,.11683787,11.266614,38436
"OLS","hhi","var3",-.0185788080655069,.0068321414,.0065767965,.11683787,,38436
"OLS","hhi","var5",.0625240791262453,.024860885,.011953202,.11683787,,38436
"IV","hhi","var3",-.0392235541915427,.018472387,.033799969,.11683787,10.14442,38436
"IV","hhi","var5",.0368555585163188,.10196865,.7177943,.11683787,10.14442,38436
"OLS","seniority","var3",.0239486033547501,.023815813,.31469557,.11683787,,38436
"OLS","seniority","var5",.0675954598055584,.024661396,.006160296,.11683787,,38436
"IV","seniority","var3",-.037135036167277,.067384847,.58161116,.11683787,9.8363609,38436
"IV","seniority","var5",.121741483096355,.096418932,.20681383,.11683787,9.8363609,38436
"OLS","sdw","var3",-.0436116098589525,.01306951,.00085685094,.11683787,,38436
"OLS","sdw","var5",.0664392838762386,.025079867,.0081100436,.11683787,,38436
"IV","sdw","var3",-.0732596896993276,.036249816,.043366123,.11683787,9.3523712,38436
"IV","sdw","var5",.135586039134617,.10030946,.17657387,.11683787,9.3523712,38436
"OLS","rent_hhi","var3",-.0157383838267159,.012960131,.22469623,.11683787,,38436
"OLS","rent_hhi","var5",.0625721805000525,.025421936,.013893988,.11683787,,38436
"IV","rent_hhi","var3",-.1567987028197982,.044410396,.00042033521,.11683787,8.4050817,38436
"IV","rent_hhi","var5",.0257572042627499,.10090185,.798531,.11683787,8.4050817,38436
"OLS","rent_seniority","var3",.0284387383395357,.025543362,.265641,.11683787,,38436
"OLS","rent_seniority","var5",.0680729996013485,.025157159,.0068478165,.11683787,,38436
"IV","rent_seniority","var3",-.1503916965078596,.079084001,.05730382,.11683787,8.3537149,38436
"IV","rent_seniority","var5",.108662683673744,.095779352,.25666526,.11683787,8.3537149,38436
"OLS","rent_sdw","var3",-.0378471629838726,.016500754,.021874286,.11683787,,38436
"OLS","rent_sdw","var5",.0668362640832302,.025576774,.0090127802,.11683787,,38436
"IV","rent_sdw","var3",-.1826339272204378,.052715898,.00053819577,.11683787,7.9802666,38436
"IV","rent_sdw","var5",.1205025121021019,.099437334,.22566149,.11683787,7.9802666,38436
"OLS","hhi_seniority","var3",-.0216320044812178,.026322378,.41124591,.11683787,,38436
"OLS","hhi_seniority","var5",.0644076199148505,.024620846,.0089389281,.11683787,,38436
"IV","hhi_seniority","var3",-.1588282730135074,.071741447,.026905891,.11683787,7.7011023,38436
"IV","hhi_seniority","var5",.0556965689172985,.10105608,.58157259,.11683787,7.7011023,38436
"OLS","hhi_sdw","var3",-.0512489530904147,.012986859,.000081098879,.11683787,,38436
"OLS","hhi_sdw","var5",.060366505878429,.024824841,.015082669,.11683787,,38436
"IV","hhi_sdw","var3",-.0774841554525709,.042165186,.066208929,.11683787,7.3988729,38436
"IV","hhi_sdw","var5",.0320814667900795,.10206891,.75330466,.11683787,7.3988729,38436
"OLS","seniority_sdw","var3",-.0162998887665997,.026615025,.54029554,.11683787,,38436
"OLS","seniority_sdw","var5",.0642841524236647,.024586705,.008975286,.11683787,,38436
"IV","seniority_sdw","var3",-.1114728752001934,.072575629,.1246482,.11683787,7.1489482,38436
"IV","seniority_sdw","var5",.1048535275241759,.097229563,.28093109,.11683787,7.1489482,38436
"OLS","rent_hhi_seniority","var3",-.0188575348122382,.028930044,.51455611,.11683787,,38436
"OLS","rent_hhi_seniority","var5",.0645240429086317,.025157195,.010367628,.11683787,,38436
