model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.0032223244206754,.0046965387,.49269149,.11423093,,41980
"OLS","baseline","var5",.0699523298961316,.023694638,.0031756724,.11423093,,41980
"IV","baseline","var3",.0057808689670517,.0093487939,.53638178,.11423093,16.529673,41980
"IV","baseline","var5",.2088020915325414,.10175639,.040245675,.11423093,16.529673,41980
"OLS","sd_wage","var3",-.0436116098589518,.01306951,.00085685094,.11683787,,38436
"OLS","sd_wage","var5",.0664392838762575,.025079867,.0081100436,.11683787,,38436
"IV","sd_wage","var3",-.0732596896993275,.036249816,.043366123,.11683787,9.3523712,38436
"IV","sd_wage","var5",.1355860391346228,.10030946,.17657387,.11683787,9.3523712,38436
"OLS","gap","var3",-.0412312014661731,.011585883,.00037803565,.11683787,,38436
"OLS","gap","var5",.0658585072222978,.025083141,.0086905323,.11683787,,38436
"IV","gap","var3",-.0424662302303226,.028441345,.13550521,.11683787,9.5599537,38436
"IV","gap","var5",.1487598605645766,.099935748,.13670294,.11683787,9.5599537,38436
"OLS","sd_wage_gap","var3",-.0402248157857999,.013581715,.0030820325,.11683787,,38436
"OLS","sd_wage_gap","var5",.0658151090716337,.025126697,.0088517824,.11683787,,38436
"IV","sd_wage_gap","var3",-.0676909864164968,.03671094,.065291196,.11683787,6.7601452,38436
"IV","sd_wage_gap","var5",.1371726695132899,.10059394,.17278056,.11683787,6.7601452,38436
