model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","growth_rate_we","var3",.0032243217879147,.0047088987,.49356019,.11446521,,41742
"OLS","growth_rate_we","var5",.0678878276011273,.023747182,.0042780694,.11446521,,41742
"OLS","growth_rate_we","var4",-.1176355486145743,.021232577,3.2428066e-08,.11446521,,41742
"IV","growth_rate_we","var3",-.0021858117265071,.008615233,.7997309,.11446521,18.30414893687908,41742
"IV","growth_rate_we","var5",.2210422604203855,.088720024,.012768146,.11446521,18.30414893687908,41742
"IV","growth_rate_we","var4",-.2467891875042346,.075830176,.0011467814,.11446521,18.30414893687908,41742
"OLS","join_rate_we","var3",.0117824838489454,.0047541205,.013245318,.24520631,,41742
"OLS","join_rate_we","var5",.0474002172699782,.025594279,.064112507,.24520631,,41742
"OLS","join_rate_we","var4",-.0914724116423016,.023050085,.000073808355,.24520631,,41742
"IV","join_rate_we","var3",.0282601966459726,.008984535,.0016724172,.24520631,18.30414893687908,41742
"IV","join_rate_we","var5",.233781941297043,.097417064,.016455987,.24520631,18.30414893687908,41742
"IV","join_rate_we","var4",-.2552631816811506,.08375068,.0023218007,.24520631,18.30414893687908,41742
"OLS","leave_rate_we","var3",.0161369354632544,.0024648909,6.7436522e-11,.14159693,,41742
"OLS","leave_rate_we","var5",-.0141895402596966,.011410048,.21373034,.14159693,,41742
"OLS","leave_rate_we","var4",.0297085738706854,.010095329,.003274003,.14159693,,41742
"IV","leave_rate_we","var3",.0447764122092915,.0048254533,2.9163025e-20,.14159693,18.30414893687908,41742
"IV","leave_rate_we","var5",.0647492817201591,.04672889,.16594641,.14159693,18.30414893687908,41742
"IV","leave_rate_we","var4",-.0458771437108802,.040164262,.25343359,.14159693,18.30414893687908,41742
