model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyh","growth_rate_we","var3",.0032243217879147,.0047088987,.49356019,.11446521,,41742
"OLS","fyh","growth_rate_we","var5",.0678878276011273,.023747182,.0042780694,.11446521,,41742
"OLS","fyh","growth_rate_we","var4",-.1176355486145743,.021232577,3.2428066e-08,.11446521,,41742
"IV","fyh","growth_rate_we","var3",-.0021858117265071,.008615233,.7997309,.11446521,18.30414893687908,41742
"IV","fyh","growth_rate_we","var5",.2210422604203855,.088720024,.012768146,.11446521,18.30414893687908,41742
"IV","fyh","growth_rate_we","var4",-.2467891875042346,.075830176,.0011467814,.11446521,18.30414893687908,41742
"OLS","fyh","join_rate_we","var3",.0117824838489454,.0047541205,.013245318,.24520631,,41742
"OLS","fyh","join_rate_we","var5",.0474002172699782,.025594279,.064112507,.24520631,,41742
"OLS","fyh","join_rate_we","var4",-.0914724116423016,.023050085,.000073808355,.24520631,,41742
"IV","fyh","join_rate_we","var3",.0282601966459726,.008984535,.0016724172,.24520631,18.30414893687908,41742
"IV","fyh","join_rate_we","var5",.233781941297043,.097417064,.016455987,.24520631,18.30414893687908,41742
"IV","fyh","join_rate_we","var4",-.2552631816811506,.08375068,.0023218007,.24520631,18.30414893687908,41742
"OLS","fyh","leave_rate_we","var3",.0161369354632544,.0024648909,6.7436522e-11,.14159693,,41742
"OLS","fyh","leave_rate_we","var5",-.0141895402596966,.011410048,.21373034,.14159693,,41742
"OLS","fyh","leave_rate_we","var4",.0297085738706854,.010095329,.003274003,.14159693,,41742
"IV","fyh","leave_rate_we","var3",.0447764122092915,.0048254533,2.9163025e-20,.14159693,18.30414893687908,41742
"IV","fyh","leave_rate_we","var5",.0647492817201591,.04672889,.16594641,.14159693,18.30414893687908,41742
"IV","fyh","leave_rate_we","var4",-.0458771437108802,.040164262,.25343359,.14159693,18.30414893687908,41742
"OLS","time","growth_rate_we","var3",.003661249067963,.0047165216,.43764791,.11446521,,41742
"OLS","time","growth_rate_we","var5",.0623990976294137,.023738842,.008612223,.11446521,,41742
"OLS","time","growth_rate_we","var4",-.1112037096931477,.021235967,1.7327058e-07,.11446521,,41742
"IV","time","growth_rate_we","var3",-.0012569495935167,.0086387033,.88432288,.11446521,9.241996166115682,41742
"IV","time","growth_rate_we","var5",.1944022598027535,.086439148,.024574244,.11446521,9.241996166115682,41742
"IV","time","growth_rate_we","var4",-.2223450026732243,.073739037,.0025858025,.11446521,9.241996166115682,41742
"OLS","time","join_rate_we","var3",.0120198605905859,.004764393,.011684875,.24520631,,41742
"OLS","time","join_rate_we","var5",.0379108418056112,.025327781,.13453361,.24520631,,41742
"OLS","time","join_rate_we","var4",-.0813208521778035,.022792777,.0003647907,.24520631,,41742
"IV","time","join_rate_we","var3",.0287650265575631,.0090041673,.0014125666,.24520631,9.241996166115682,41742
"IV","time","join_rate_we","var5",.1904721099766639,.095574066,.046347316,.24520631,9.241996166115682,41742
"IV","time","join_rate_we","var4",-.216205151379168,.082053289,.0084525738,.24520631,9.241996166115682,41742
"OLS","time","leave_rate_we","var3",.0159902704419978,.0024903063,1.5367969e-10,.14159693,,41742
"OLS","time","leave_rate_we","var5",-.0154068270450583,.010859582,.15606681,.14159693,,41742
"OLS","time","leave_rate_we","var4",.0308176054625179,.009533301,.001238007,.14159693,,41742
"IV","time","leave_rate_we","var3",.0445334463158806,.0048803748,1.1842326e-19,.14159693,9.241996166115682,41742
"IV","time","leave_rate_we","var5",.0612338190156018,.043495502,.1592737,.14159693,9.241996166115682,41742
"IV","time","leave_rate_we","var4",-.0427434635092883,.037321065,.25216743,.14159693,9.241996166115682,41742
"OLS","firm","growth_rate_we","var3",.0032343264840318,.0047084694,.49218091,.11446521,,41742
"OLS","firm","growth_rate_we","var5",.0678078235018157,.023736361,.0043059639,.11446521,,41742
"OLS","firm","growth_rate_we","var4",-.1174719800043868,.021221615,3.3329556e-08,.11446521,,41742
"IV","firm","growth_rate_we","var3",-.002162556551678,.0086152079,.8018164,.11446521,18.30803104158583,41742
"IV","firm","growth_rate_we","var5",.2211850937042016,.088708028,.012698461,.11446521,18.30803104158583,41742
"IV","firm","growth_rate_we","var4",-.2468195695060065,.075814843,.0011425269,.11446521,18.30803104158583,41742
"OLS","firm","join_rate_we","var3",.0117814613027042,.0047542825,.013256423,.24520631,,41742
"OLS","firm","join_rate_we","var5",.0473179196188895,.025585281,.064481862,.24520631,,41742
"OLS","firm","join_rate_we","var4",-.0913206393817531,.023041235,.000075384778,.24520631,,41742
"IV","firm","join_rate_we","var3",.0282751149599936,.0089851115,.0016641212,.24520631,18.30803104158583,41742
"IV","firm","join_rate_we","var5",.2339073764502092,.097397961,.016377231,.24520631,18.30803104158583,41742
"IV","firm","join_rate_we","var4",-.2552932347635627,.083729632,.0023131459,.24520631,18.30803104158583,41742
"OLS","firm","leave_rate_we","var3",.0163543172987795,.0024545032,3.1064644e-11,.14159693,,41742
"OLS","firm","leave_rate_we","var5",-.0140767712715566,.011386164,.21642852,.14159693,,41742
"OLS","firm","leave_rate_we","var4",.0292409401636672,.010064466,.0036913594,.14159693,,41742
"IV","firm","leave_rate_we","var3",.0449531672293484,.0048214039,1.9392135e-20,.14159693,18.30803104158583,41742
"IV","firm","leave_rate_we","var5",.061023000081757,.046318747,.18777178,.14159693,18.30803104158583,41742
"IV","firm","leave_rate_we","var4",-.0430567622229278,.039821614,.27966473,.14159693,18.30803104158583,41742
"OLS","none","growth_rate_we","var3",.0036628061308057,.0047162934,.43743092,.14159693,,41742
"OLS","none","growth_rate_we","var5",.0624648061934311,.023721332,.0084939208,.14159693,,41742
"OLS","none","growth_rate_we","var4",-.1111976539008702,.021218298,1.6951654e-07,.14159693,,41742
"IV","none","growth_rate_we","var3",-.0012403487539781,.0086365258,,.14159693,9.244430000920721,41742
"IV","none","growth_rate_we","var5",.1951801633170937,.086335212,,.14159693,9.244430000920721,41742
"IV","none","growth_rate_we","var4",-.2229502530655224,.073644407,,.14159693,9.244430000920721,41742
"OLS","none","join_rate_we","var3",.0120118356951649,.0047647613,.011747344,.14159693,,41742
"OLS","none","join_rate_we","var5",.037944080793436,.025303565,.13382037,.14159693,,41742
"OLS","none","join_rate_we","var4",-.0812923671850597,.022768885,.00036134914,.14159693,,41742
"IV","none","join_rate_we","var3",.0287740920823807,.0090024332,,.14159693,9.244430000920721,41742
"IV","none","join_rate_we","var5",.1911212000106095,.095446967,,.14159693,9.244430000920721,41742
"IV","none","join_rate_we","var4",-.2167066835281147,.081938624,,.14159693,9.244430000920721,41742
"OLS","none","leave_rate_we","var3",.0161901755015133,.0024805772,7.6923301e-11,.14159693,,41742
"OLS","none","leave_rate_we","var5",-.0153352101184586,.010825922,.15671065,.14159693,,41742
"OLS","none","leave_rate_we","var4",.0304240483728774,.0094919279,.0013616153,.14159693,,41742
"IV","none","leave_rate_we","var3",.0446954724876168,.0048755137,,.14159693,9.244430000920721,41742
"IV","none","leave_rate_we","var5",.0577354914228125,.043082517,,.14159693,9.244430000920721,41742
"IV","none","leave_rate_we","var4",-.0400794500705986,.036979988,,.14159693,9.244430000920721,41742
"OLS","industrytime","growth_rate_we","var3",-.0031696304867174,.0055776136,.5698837,.11446521,,41406
"OLS","industrytime","growth_rate_we","var5",.0749550976153677,.023782419,.0016371042,.11446521,,41406
"OLS","industrytime","growth_rate_we","var4",-.1222373443453807,.021193443,8.7426306e-09,.11446521,,41406
"IV","industrytime","growth_rate_we","var3",-.0240024028871322,.023056697,.29794067,.11446521,20.53870688334659,41406
"IV","industrytime","growth_rate_we","var5",.2101257489335902,.091452539,.021641286,.11446521,20.53870688334659,41406
"IV","industrytime","growth_rate_we","var4",-.2317666787510859,.078184307,.00305382,.11446521,20.53870688334659,41406
"OLS","industrytime","join_rate_we","var3",.0014984286031724,.005601835,.78910869,.24520631,,41406
"OLS","industrytime","join_rate_we","var5",.0581552450378218,.025569443,.023002712,.24520631,,41406
"OLS","industrytime","join_rate_we","var4",-.1006826524061642,.022984579,.000012195285,.24520631,,41406
"IV","industrytime","join_rate_we","var3",.0176291653304585,.023509903,.45338929,.24520631,20.53870688334659,41406
"IV","industrytime","join_rate_we","var5",.2396509959464543,.10083611,.017525338,.24520631,20.53870688334659,41406
"IV","industrytime","join_rate_we","var4",-.2553898938342689,.086698182,.0032433877,.24520631,20.53870688334659,41406
"OLS","industrytime","leave_rate_we","var3",.0088977227639212,.0027533569,.0012425833,.14159693,,41406
"OLS","industrytime","leave_rate_we","var5",-.0104259090893497,.011233475,.35341492,.14159693,,41406
"OLS","industrytime","leave_rate_we","var4",.023488046279815,.0099355485,.018131796,.14159693,,41406
"IV","industrytime","leave_rate_we","var3",.0567579985864768,.012291921,4.0252376e-06,.14159693,20.53870688334659,41406
"IV","industrytime","leave_rate_we","var5",.0817564606994495,.051361799,.11152656,.14159693,20.53870688334659,41406
"IV","industrytime","leave_rate_we","var4",-.0619603632130643,.044310145,.16210262,.14159693,20.53870688334659,41406
"OLS","hqtime","growth_rate_we","var3",-.0000846842908105,.0065653846,.98970962,.11446521,,33537
"OLS","hqtime","growth_rate_we","var5",.0780634293372917,.027343184,.0043360279,.11446521,,33537
"OLS","hqtime","growth_rate_we","var4",-.1215954590955242,.024310976,6.0346241e-07,.11446521,,33537
"IV","hqtime","growth_rate_we","var3",-.0070926061478056,.014980905,.635934,.11446521,10.19372034416115,33537
"IV","hqtime","growth_rate_we","var5",.2203974441145415,.12870428,.086927652,.11446521,10.19372034416115,33537
"IV","hqtime","growth_rate_we","var4",-.2425088724531046,.11085083,.028773526,.11446521,10.19372034416115,33537
"OLS","hqtime","join_rate_we","var3",.0079278911156015,.0065123355,.22356784,.24520631,,33537
"OLS","hqtime","join_rate_we","var5",.0569242181466807,.028695492,.047383029,.24520631,,33537
"OLS","hqtime","join_rate_we","var4",-.0969666278687804,.025762614,.00017075257,.24520631,,33537
"IV","hqtime","join_rate_we","var3",.0356796115315875,.015440974,.020921217,.24520631,10.19372034416115,33537
"IV","hqtime","join_rate_we","var5",.2716976416531427,.1434778,.058373634,.24520631,10.19372034416115,33537
"IV","hqtime","join_rate_we","var4",-.2865018336992576,.12423567,.021176875,.24520631,10.19372034416115,33537
"OLS","hqtime","leave_rate_we","var3",.0144290169523017,.0032067329,7.0857177e-06,.14159693,,33537
"OLS","hqtime","leave_rate_we","var5",-.0155217692541011,.011670855,.18363981,.14159693,,33537
"OLS","hqtime","leave_rate_we","var4",.0269259037124231,.010158156,.008078495,.14159693,,33537
"IV","hqtime","leave_rate_we","var3",.0547840369143701,.0084310221,9.6052992e-11,.14159693,10.19372034416115,33537
"IV","hqtime","leave_rate_we","var5",.1059131448246593,.069817774,.12938108,.14159693,10.19372034416115,33537
"IV","hqtime","leave_rate_we","var4",-.0847979348939372,.060657974,.16223328,.14159693,10.19372034416115,33537
"OLS","hqindustrytime","growth_rate_we","var3",-.0036740001756088,.010838954,.73467362,.11446521,,23866
