model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyhu","total_contributions_q100","var3",.0351778073279147,.45293397,.93809378,77.28447,,229862
"OLS","fyhu","total_contributions_q100","var5",3.348483273345701,1.049727,.0014246384,77.28447,,229862
"OLS","fyhu","total_contributions_q100","var4",-2.994228973688502,.91057342,.0010089534,77.28447,,229862
"IV","fyhu","total_contributions_q100","var3",3.87941736367688,3.995425,.33157232,77.28447,140.5966416153153,229862
"IV","fyhu","total_contributions_q100","var5",.609464546357176,4.8571873,.90014678,77.28447,140.5966416153153,229862
"IV","fyhu","total_contributions_q100","var4",-1.425919262468907,3.5214696,.68553752,77.28447,140.5966416153153,229862
"OLS","firmbyuseryh","total_contributions_q100","var3",-.1867437397910571,.45877364,.68397385,77.28447,,224708
"OLS","firmbyuseryh","total_contributions_q100","var5",4.416103970908003,1.0589333,.00003048773,77.28447,,224708
"OLS","firmbyuseryh","total_contributions_q100","var4",-4.140034231355361,.92037857,6.8752852e-06,77.28447,,224708
"IV","firmbyuseryh","total_contributions_q100","var3",2.242522272745225,4.0368848,.57855064,77.28447,123.431316168694,224708
"IV","firmbyuseryh","total_contributions_q100","var5",1.158292040309577,4.7807384,.80856222,77.28447,123.431316168694,224708
"IV","firmbyuseryh","total_contributions_q100","var4",-1.850329881691315,3.4394174,.59059584,77.28447,123.431316168694,224708
"OLS","fyh","total_contributions_q100","var3",.0050692009174306,.46024337,.99121219,77.28447,,231234
"OLS","fyh","total_contributions_q100","var5",1.770333858857114,1.0308189,.085913472,77.28447,,231234
"OLS","fyh","total_contributions_q100","var4",-2.063828973676014,.89084357,.020524774,77.28447,,231234
"IV","fyh","total_contributions_q100","var3",1.531758235165907,4.0656857,.70635951,77.28447,187.1134760662491,231234
"IV","fyh","total_contributions_q100","var5",1.60962474623368,4.9922309,.74713182,77.28447,187.1134760662491,231234
"IV","fyh","total_contributions_q100","var4",-2.227262858257445,3.6305416,.53956306,77.28447,187.1134760662491,231234
"OLS","useryh","total_contributions_q100","var3",1.875668091345307,.46207821,.000049345577,77.28447,,229913
"OLS","useryh","total_contributions_q100","var5",-.0211047831420683,1.1239717,.98501915,77.28447,,229913
"OLS","useryh","total_contributions_q100","var4",2.275434577834625,.97688848,.019850437,77.28447,,229913
"IV","useryh","total_contributions_q100","var3",22.80691269318011,4.1098185,2.8872368e-08,77.28447,161.5154863672973,229913
"IV","useryh","total_contributions_q100","var5",-24.72365556219222,5.286675,2.9273644e-06,77.28447,161.5154863672973,229913
"IV","useryh","total_contributions_q100","var4",19.2174659816134,3.9303265,1.0151235e-06,77.28447,161.5154863672973,229913
"OLS","time","total_contributions_q100","var3",.5684576266403975,.48679578,.24291357,77.28447,,231305
"OLS","time","total_contributions_q100","var5",1.75726044091149,1.1114308,.11386836,77.28447,,231305
"OLS","time","total_contributions_q100","var4",-2.472983522168638,.96430993,.010336015,77.28447,,231305
"IV","time","total_contributions_q100","var3",-113.2777310347497,31.201288,.00028321677,77.28447,.0944236340333386,216111
"IV","time","total_contributions_q100","var5",2195.204048920825,3419.5562,.52090597,77.28447,.0944236340333386,216111
"IV","time","total_contributions_q100","var4",-1849.818318114332,2915.7715,.52581203,77.28447,.0944236340333386,216111
"OLS","firm","total_contributions_q100","var3",.2620467909095546,.46528372,.57330358,77.28447,,231234
"OLS","firm","total_contributions_q100","var5",1.57165010490384,1.039204,.13045093,77.28447,,231234
"OLS","firm","total_contributions_q100","var4",-1.565962800685057,.89849448,.081363872,77.28447,,231234
"IV","firm","total_contributions_q100","var3",3.237686932470977,4.1247997,.43249848,77.28447,187.3432562464935,231234
"IV","firm","total_contributions_q100","var5",.4423757678699723,5.0435524,.93010676,77.28447,187.3432562464935,231234
"IV","firm","total_contributions_q100","var4",-1.193673911827581,3.662313,.74447578,77.28447,187.3432562464935,231234
"OLS","none","total_contributions_q100","var3",.8484726997849572,.49163187,.084386416,77.28447,,231305
"OLS","none","total_contributions_q100","var5",1.552023214525176,1.1199005,.16579854,77.28447,,231305
"OLS","none","total_contributions_q100","var4",-2.027892924344159,.97213376,.036983382,77.28447,,231305
"IV","none","total_contributions_q100","var3",-108.6219773055214,30.787947,,77.28447,.0954221463744216,216111
"IV","none","total_contributions_q100","var5",2192.397158478802,3398.8855,,77.28447,.0954221463744216,216111
"IV","none","total_contributions_q100","var4",-1847.895775764755,2898.8796,,77.28447,.0954221463744216,216111
"OLS","industrytime","total_contributions_q100","var3",-.0504258879829011,.46381676,.91342562,77.28447,,227829
"OLS","industrytime","total_contributions_q100","var5",3.472225158854466,1.1211988,.0019571707,77.28447,,227829
"OLS","industrytime","total_contributions_q100","var4",-2.934078426142449,.9908402,.0030664301,77.28447,,227829
"IV","industrytime","total_contributions_q100","var3",10.6865204263789,5.4362054,.049328905,77.28447,109.1573757050038,227829
"IV","industrytime","total_contributions_q100","var5",-3.346171118644474,4.6796255,.47458223,77.28447,109.1573757050038,227829
"IV","industrytime","total_contributions_q100","var4",.536699692982785,3.382359,.87392491,77.28447,109.1573757050038,227829
"OLS","msatime","total_contributions_q100","var3",.3094679234296523,.47682953,.51633501,77.28447,,229043
"OLS","msatime","total_contributions_q100","var5",3.066400883443646,1.0686376,.0041142916,77.28447,,229043
"OLS","msatime","total_contributions_q100","var4",-2.538893412247921,.93017071,.0063463091,77.28447,,229043
"IV","msatime","total_contributions_q100","var3",3.834649553079091,4.3027248,.37282029,77.28447,130.4841463420149,229043
