fe_tag,outcome,endovar,param,coef,se,pval,partialF,rkf,nobs
"fyhu","total_contributions_q100","var3","var6",.2333198409818231,.013965348,0,325.4576225730779,140.59665,229862
"fyhu","total_contributions_q100","var3","var7",.1579692258657139,.024648832,1.4696282e-10,325.4576225730779,140.59665,229862
"fyhu","total_contributions_q100","var3","var4",.0943005301818935,.016446708,9.8385406e-09,325.4576225730779,140.59665,229862
"fyhu","total_contributions_q100","var5","var6",-.0007647211246769,.00042121665,.069447584,186.5512710614399,140.59665,229862
"fyhu","total_contributions_q100","var5","var7",.3892968169446746,.020211611,0,186.5512710614399,140.59665,229862
"fyhu","total_contributions_q100","var5","var4",.5984335337778032,.013733747,0,186.5512710614399,140.59665,229862
"firmbyuseryh","total_contributions_q100","var3","var6",.238028407027614,.01515495,0,295.1124587689392,123.43131,224708
"firmbyuseryh","total_contributions_q100","var3","var7",.1605514498232516,.026308391,1.0448021e-09,295.1124587689392,123.43131,224708
"firmbyuseryh","total_contributions_q100","var3","var4",.0940558422027055,.017589923,8.9440199e-08,295.1124587689392,123.43131,224708
"firmbyuseryh","total_contributions_q100","var5","var6",-.0000877720376048,.000032627398,.0071428819,175.4625313347808,123.43131,224708
"firmbyuseryh","total_contributions_q100","var5","var7",.398618122739485,.021500995,0,175.4625313347808,123.43131,224708
"firmbyuseryh","total_contributions_q100","var5","var4",.5942291831946889,.014629276,0,175.4625313347808,123.43131,224708
"fyh","total_contributions_q100","var3","var6",.2330026838301044,.012045726,0,400.6752356374145,187.11348,231234
"fyh","total_contributions_q100","var3","var7",.1428188096779482,.021874415,6.6332370e-11,400.6752356374145,187.11348,231234
"fyh","total_contributions_q100","var3","var4",.1033388101763454,.014563506,1.2903435e-12,400.6752356374145,187.11348,231234
"fyh","total_contributions_q100","var5","var6",-.0000245680547048,.000013496938,.068719387,214.3129707888817,187.11348,231234
"fyh","total_contributions_q100","var5","var7",.3758478923869183,.018225132,0,214.3129707888817,187.11348,231234
"fyh","total_contributions_q100","var5","var4",.6058342372045324,.012346583,0,214.3129707888817,187.11348,231234
"useryh","total_contributions_q100","var3","var6",.2379005358201974,.013258982,0,348.1316971167431,161.51549,229913
"useryh","total_contributions_q100","var3","var7",.1255078603430109,.023116071,5.6580699e-08,348.1316971167431,161.51549,229913
"useryh","total_contributions_q100","var3","var4",.1096498943891377,.015428152,1.1882220e-12,348.1316971167431,161.51549,229913
"useryh","total_contributions_q100","var5","var6",-.0000899888238324,.00069869374,.89751935,191.6310909259927,161.51549,229913
"useryh","total_contributions_q100","var5","var7",.3666210820803911,.01877157,0,191.6310909259927,161.51549,229913
"useryh","total_contributions_q100","var5","var4",.6125570963187952,.012767996,0,191.6310909259927,161.51549,229913
"time","total_contributions_q100","var3","var6",.2392831436562368,.013895825,0,164.373860765132,.094423637,216111
"time","total_contributions_q100","var3","var7",.1262184395812612,.0238776,1.2509936e-07,164.373860765132,.094423637,216111
"time","total_contributions_q100","var3","var4",.1160063617105752,.016003689,4.2210487e-13,164.373860765132,.094423637,216111
"time","total_contributions_q100","var5","var6",-.0000471866428629,.000022084238,.032626282,91.92742600071369,.094423637,216111
"time","total_contributions_q100","var5","var7",.3656046127959052,.019380063,0,91.92742600071369,.094423637,216111
"time","total_contributions_q100","var5","var4",.6160827676923402,.013260541,0,91.92742600071369,.094423637,216111
"firm","total_contributions_q100","var3","var6",.2331699754946485,.012045882,0,401.0216862985046,187.34326,231234
"firm","total_contributions_q100","var3","var7",.1426845924200571,.021872733,6.8873497e-11,401.0216862985046,187.34326,231234
"firm","total_contributions_q100","var3","var4",.1035147146006288,.014561364,1.1734411e-12,401.0216862985046,187.34326,231234
"firm","total_contributions_q100","var5","var6",8.21248626351e-16,3.2940972e-10,.99999803,212.6397542122101,187.34326,231234
"firm","total_contributions_q100","var5","var7",.3758545679146978,.018225633,0,212.6397542122101,187.34326,231234
"firm","total_contributions_q100","var5","var4",.6058037206370479,.012347916,0,212.6397542122101,187.34326,231234
"none","total_contributions_q100","var3","var6",.2396316820038377,.013894351,0,164.6756980827397,.095422149,216111
"none","total_contributions_q100","var3","var7",.1259283958912911,.023875378,1.3331578e-07,164.6756980827397,.095422149,216111
"none","total_contributions_q100","var3","var4",.1163565855827845,.015999971,3.5460561e-13,164.6756980827397,.095422149,216111
"none","total_contributions_q100","var5","var6",9.69410758824e-16,4.9639431e-18,0,,.095422149,216111
"none","total_contributions_q100","var5","var7",.3655600778951292,.019380458,0,,.095422149,216111
"none","total_contributions_q100","var5","var4",.6161215251529798,.013261303,0,,.095422149,216111
"industrytime","total_contributions_q100","var3","var6",.2171837355818174,.015644299,0,160.4529575927799,109.15738,227829
"industrytime","total_contributions_q100","var3","var7",.1194048322263929,.025080251,1.9284071e-06,160.4529575927799,109.15738,227829
"industrytime","total_contributions_q100","var3","var4",.1353381360565325,.017039504,1.9887319e-15,160.4529575927799,109.15738,227829
"industrytime","total_contributions_q100","var5","var6",-.0105227162159867,.0040945518,.010172512,263.2507043159241,109.15738,227829
"industrytime","total_contributions_q100","var5","var7",.4358432468790167,.019548807,0,263.2507043159241,109.15738,227829
"industrytime","total_contributions_q100","var5","var4",.5689745148023658,.013389787,0,263.2507043159241,109.15738,227829
