fe_tag,outcome,endovar,param,coef,se,pval,partialF,rkf,nobs
"fyhu","total_contributions_q100","var3","var6",.1545748426132373,.0055951606,0,698.8247925924056,382.38348,1226437
"fyhu","total_contributions_q100","var3","var7",.1865902763555484,.014678828,5.1306339e-37,698.8247925924056,382.38348,1226437
"fyhu","total_contributions_q100","var3","var4",.0995215356313119,.0097507341,1.8572255e-24,698.8247925924056,382.38348,1226437
"fyhu","total_contributions_q100","var5","var6",-.000113936708714,.00012429191,.35930717,317.9286050851439,382.38348,1226437
"fyhu","total_contributions_q100","var5","var7",.3397803145456081,.013476563,0,317.9286050851439,382.38348,1226437
"fyhu","total_contributions_q100","var5","var4",.615932280422788,.0090234848,0,317.9286050851439,382.38348,1226437
"firmbyuseryh","total_contributions_q100","var3","var6",.1549536670322243,.0060325903,0,614.5002955070468,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var3","var7",.1924289932886585,.015760742,2.7826406e-34,614.5002955070468,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var3","var4",.0983010750770115,.010477684,6.4871603e-21,614.5002955070468,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var5","var6",-6.08043047796e-06,2.8533223e-06,.033089317,285.3599706187337,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var5","var7",.3471734644093407,.014560934,0,285.3599706187337,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var5","var4",.6129907122987522,.0097583933,0,285.3599706187337,329.91565,1209494
"fyh","total_contributions_q100","var3","var6",.1629277243537118,.0046750708,0,1007.49152734556,607.29132,1231616
"fyh","total_contributions_q100","var3","var7",.1678675958353995,.012624606,0,1007.49152734556,607.29132,1231616
"fyh","total_contributions_q100","var3","var4",.10999790264592,.0084064491,0,1007.49152734556,607.29132,1231616
"fyh","total_contributions_q100","var5","var6",-2.29159012425e-06,1.5668667e-06,.14359619,399.7957489675658,607.29132,1231616
"fyh","total_contributions_q100","var5","var7",.3307235627310381,.011718345,0,399.7957489675658,607.29132,1231616
"fyh","total_contributions_q100","var5","var4",.6228055845136473,.0078682024,0,399.7957489675658,607.29132,1231616
"useryh","total_contributions_q100","var3","var6",.1577239812294236,.0053894985,0,750.8642459535548,432.84619,1226459
"useryh","total_contributions_q100","var3","var7",.1549519211182336,.013559393,3.0532407e-30,750.8642459535548,432.84619,1226459
"useryh","total_contributions_q100","var3","var4",.1107495757739006,.0090825884,3.3771578e-34,750.8642459535548,432.84619,1226459
"useryh","total_contributions_q100","var5","var6",-.0004636360204717,.00028267383,.10096798,339.549347601311,432.84619,1226459
"useryh","total_contributions_q100","var5","var7",.3179540630370541,.01220147,0,339.549347601311,432.84619,1226459
"useryh","total_contributions_q100","var5","var4",.627445473106833,.0082561402,0,339.549347601311,432.84619,1226459
"time","total_contributions_q100","var3","var6",.1696873518937389,.0051586484,0,468.1689520351086,.039268609,1112756
"time","total_contributions_q100","var3","var7",.1593045930905666,.012896377,4.7375522e-35,468.1689520351086,.039268609,1112756
"time","total_contributions_q100","var3","var4",.1131653978036176,.0087491935,2.8977171e-38,468.1689520351086,.039268609,1112756
"time","total_contributions_q100","var5","var6",4.85883592742e-07,1.6123277e-06,.7631436,196.3311236766655,.039268609,1112756
"time","total_contributions_q100","var5","var7",.329023782919286,.011808215,0,196.3311236766655,.039268609,1112756
"time","total_contributions_q100","var5","var4",.6240615397625907,.0081139496,0,196.3311236766655,.039268609,1112756
"firm","total_contributions_q100","var3","var6",.1629304788686429,.0046750796,0,1007.397307658032,607.29077,1231616
"firm","total_contributions_q100","var3","var7",.1678155327059495,.012624699,0,1007.397307658032,607.29077,1231616
"firm","total_contributions_q100","var3","var4",.1101456600153021,.0084064463,0,1007.397307658032,607.29077,1231616
"firm","total_contributions_q100","var5","var6",-3.04010245251e-16,,,,607.29077,1231616
"firm","total_contributions_q100","var5","var7",.3307460115745866,.011718598,0,,607.29077,1231616
"firm","total_contributions_q100","var5","var4",.6227650306166248,.0078686401,0,,607.29077,1231616
"none","total_contributions_q100","var3","var6",.1697028743691815,.0051586581,0,468.2647461574451,.039734479,1112756
"none","total_contributions_q100","var3","var7",.1593214713941436,.012897053,4.6988163e-35,468.2647461574451,.039734479,1112756
"none","total_contributions_q100","var3","var4",.1132120618722115,.0087499935,2.7454060e-38,468.2647461574451,.039734479,1112756
"none","total_contributions_q100","var5","var6",-3.63224156292e-16,2.4792167e-11,.99998832,,.039734479,1112756
"none","total_contributions_q100","var5","var7",.3290243457633307,.011808095,0,,.039734479,1112756
"none","total_contributions_q100","var5","var4",.6240627406002028,.0081142085,0,,.039734479,1112756
"industrytime","total_contributions_q100","var3","var6",.0870976682165569,.0062113316,0,192.9288961714767,103.63808,1218839
"industrytime","total_contributions_q100","var3","var7",.1487122695351857,.015111239,7.4982990e-23,192.9288961714767,103.63808,1218839
"industrytime","total_contributions_q100","var3","var4",.1383059834342903,.010152217,0,192.9288961714767,103.63808,1218839
"industrytime","total_contributions_q100","var5","var6",-.0018276292084189,.0011686978,.11786089,389.682058568214,103.63808,1218839
"industrytime","total_contributions_q100","var5","var7",.3599298250866003,.013224232,0,389.682058568214,103.63808,1218839
"industrytime","total_contributions_q100","var5","var4",.6050711878826189,.0088408403,0,389.682058568214,103.63808,1218839
"msatime","total_contributions_q100","var3","var6",.1835813790087485,.0055657174,0,892.9351612448269,536.9259,1226025
"msatime","total_contributions_q100","var3","var7",.1728468054037539,.014612942,2.7974341e-32,892.9351612448269,536.9259,1226025
"msatime","total_contributions_q100","var3","var4",.1046070340034211,.0097259423,5.6007429e-27,892.9351612448269,536.9259,1226025
"msatime","total_contributions_q100","var5","var6",.0014639269929909,.00031548599,3.4806042e-06,334.0491242861763,536.9259,1226025
"msatime","total_contributions_q100","var5","var7",.3393144204072679,.013396305,0,334.0491242861763,536.9259,1226025
"msatime","total_contributions_q100","var5","var4",.6161357774304395,.0089663472,0,334.0491242861763,536.9259,1226025
"msaindustrytime","total_contributions_q100","var3","var6",.0760459726966753,.0064864508,9.6622033e-32,122.3149911069169,79.137032,1209405
"msaindustrytime","total_contributions_q100","var3","var7",.1136591351647749,.015861349,7.7382198e-13,122.3149911069169,79.137032,1209405
"msaindustrytime","total_contributions_q100","var3","var4",.158151983819848,.010768428,0,122.3149911069169,79.137032,1209405
"msaindustrytime","total_contributions_q100","var5","var6",-.009370446955741,.0013612321,5.8306090e-12,439.8024183628099,79.137032,1209405
"msaindustrytime","total_contributions_q100","var5","var7",.3555548282594804,.012990329,0,439.8024183628099,79.137032,1209405
"msaindustrytime","total_contributions_q100","var5","var4",.6090310062057874,.0086796321,0,439.8024183628099,79.137032,1209405
