model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-2.657994954104617,.98556882,.0070228674,50.301693,,52995
"OLS","baseline","var5",9.17895740297539,2.6863484,.00063864922,50.301693,,52995
"IV","baseline","var3",-17.35999037759864,8.716362,.046465222,50.301693,26.053556,52995
"IV","baseline","var5",31.84583315094161,12.283092,.0095525673,50.301693,26.053556,52995
"OLS","rent","var3",.1755012350736514,2.3287117,.93992823,50.38007,,51392
"OLS","rent","var5",8.504787062115298,2.7445171,.0019543695,50.38007,,51392
"IV","rent","var3",-662.2811258996204,1258.5236,.5987497,50.38007,.08886493,47771
"IV","rent","var5",117.0407507606864,170.7827,.49317741,50.38007,.08886493,47771
"OLS","hhi","var3",-2.520716964057728,1.2991894,.052412439,50.38007,,51392
"OLS","hhi","var5",8.331520771883996,2.9187925,.0043301601,50.38007,,51392
"IV","hhi","var3",123.2168891850097,577.60345,.8310836,50.38007,.023847582,47771
"IV","hhi","var5",211.0840360584251,709.68384,.76614898,50.38007,.023847582,47771
"OLS","rent_hhi","var3",1.137783767340062,2.4452174,.64173114,50.38007,,51392
"OLS","rent_hhi","var5",8.465728339810957,2.9235051,.0038000483,50.38007,,51392
"IV","rent_hhi","var3",-312.4862757085409,1438.4043,.82802719,50.38007,.039877873,47771
"IV","rent_hhi","var5",238.6795708534962,398.70782,.54944789,50.38007,.039877873,47771
"OLS","seniority","var3",12.68553466741064,11.424928,.26691014,50.38007,,51392
"OLS","seniority","var5",8.091896144056648,2.7622092,.0034114127,50.38007,,51392
"IV","seniority","var3",-21312.50851377062,66029.289,.74688172,50.38007,.032178801,47771
"IV","seniority","var5",-47.814928073998,427.1568,.91087782,50.38007,.032178801,47771
"OLS","rent_seniority","var3",14.72975920815887,11.405178,.19659482,50.38007,,51392
"OLS","rent_seniority","var5",7.932500272793171,2.7883482,.0044621308,50.38007,,51392
"IV","rent_seniority","var3",160.3218192431393,922.15912,.86198735,50.38007,.08369863,47771
"IV","rent_seniority","var5",70.46930335194658,66.785896,.29141212,50.38007,.08369863,47771
"OLS","hhi_seniority","var3",16.22900537266814,11.833498,.17030148,50.38007,,51392
"OLS","hhi_seniority","var5",7.599329459193347,2.9453363,.0099066338,50.38007,,51392
"IV","hhi_seniority","var3",957.6834972204548,3030.7588,.7520262,50.38007,.054717414,47771
"IV","hhi_seniority","var5",-107.2073251361978,379.62479,.7776472,50.38007,.054717414,47771
"OLS","rent_hhi_seniority","var3",19.06681433105849,11.827614,.10701628,50.38007,,51392
"OLS","rent_hhi_seniority","var5",7.745591028059149,2.9518409,.0087188547,50.38007,,51392
"IV","rent_hhi_seniority","var3",-267.6291938008202,3882.0298,.94503999,50.38007,.0032561624,47771
"IV","rent_hhi_seniority","var5",227.1199192835262,1235.0172,.85409999,50.38007,.0032561624,47771
