model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.4767274757179533,.38909855,.22050221,35.40099,,518971
"OLS","baseline","var5",-3.5620058972261,1.5518227,.021716347,35.40099,,518971
"IV","baseline","var3",16.6425326067537,3.2901702,4.2468454e-07,35.40099,275.71573,518971
"IV","baseline","var5",-8.517346439593704,7.8397017,.277291,35.40099,275.71573,518971
"OLS","rent","var3",-1.301916962372236,.92826134,.16076301,35.40099,,499955
"OLS","rent","var5",-4.138879254698207,1.587499,.0091323778,35.40099,,499955
"IV","rent","var3",3426.598167652052,13374.466,.79779416,35.40099,.021364776,451302
"IV","rent","var5",-596.7272055857002,2283.5835,.79385334,35.40099,.021364776,451302
"OLS","hhi","var3",.5966222893518269,.51300246,.24483506,35.40099,,518939
"OLS","hhi","var5",-3.52790580563454,1.5739857,.025005862,35.40099,,518939
"IV","hhi","var3",6.290111907299547,8.4234734,.45522684,35.40099,8.8118458,468422
"IV","hhi","var5",-7.822375826943218,9.38099,.40436777,35.40099,8.8118458,468422
"OLS","seniority","var3",-3.172769864427757,5.6208348,.57243979,35.40099,,518971
"OLS","seniority","var5",-3.483184943502033,1.5725136,.026761886,35.40099,,518971
"IV","seniority","var3",-57399.49424808902,55323.555,.29949757,35.40099,.39942315,468448
"IV","seniority","var5",-1206.38276917378,949.32281,.20381275,35.40099,.39942315,468448
"OLS","gap","var3",-1.792266709956615,1.2387981,.1479656,35.40099,,518966
"OLS","gap","var5",-3.663171431759871,1.5523452,.018290514,35.40099,,518966
"IV","gap","var3",-448.679595384879,343.75027,.19181496,35.40099,.71786797,468443
"IV","gap","var5",128.2250085708777,103.2673,.21436103,35.40099,.71786797,468443
"OLS","rent_hhi","var3",-1.258943238807042,.97905344,.19849217,35.40099,,499929
"OLS","rent_hhi","var5",-4.191731698100081,1.6099457,.0092267264,35.40099,,499929
"IV","rent_hhi","var3",6278.530483445512,41601.461,.8800388,35.40099,.0056187585,451282
"IV","rent_hhi","var5",-1627.393561731262,10701.366,.87912971,35.40099,.0056187585,451282
"OLS","rent_seniority","var3",-3.443614482207078,5.6525583,.542386,35.40099,,499955
"OLS","rent_seniority","var5",-4.124494988467372,1.611248,.010476011,35.40099,,499955
"IV","rent_seniority","var3",5836.30101185689,15104.111,.69919884,35.40099,.035832137,451302
"IV","rent_seniority","var5",-285.598610103987,842.20416,.73452961,35.40099,.035832137,451302
"OLS","rent_gap","var3",-3.430553557832616,1.4792069,.020389425,35.40099,,499950
"OLS","rent_gap","var5",-4.210657906248127,1.5876956,.0080030849,35.40099,,499950
"IV","rent_gap","var3",2569.183500079817,23374.678,.9124788,35.40099,.0041041123,451297
"IV","rent_gap","var5",-439.6545307144574,4577.2861,.92348021,35.40099,.0041041123,451297
"OLS","hhi_seniority","var3",-2.081669373462372,5.7542901,.71753335,35.40099,,518939
"OLS","hhi_seniority","var5",-3.49048037330604,1.5905577,.028204273,35.40099,,518939
"IV","hhi_seniority","var3",-18913.04587197805,14425.575,.18983842,35.40099,.48395038,468422
"IV","hhi_seniority","var5",-264.6058707554832,251.45026,.29265901,35.40099,.48395038,468422
"OLS","hhi_gap","var3",-1.657574175723292,1.2739716,.19322795,35.40099,,518934
"OLS","hhi_gap","var5",-3.607746013450698,1.574245,.021925559,35.40099,,518934
"IV","hhi_gap","var3",-429.3611122767866,311.80682,.16851616,35.40099,.60764104,468417
"IV","hhi_gap","var5",120.3650196471164,95.155243,.20590198,35.40099,.60764104,468417
"OLS","seniority_gap","var3",-5.64181668797188,5.6922646,.32162356,35.40099,,518966
"OLS","seniority_gap","var5",-3.57623545055131,1.5732114,.023018174,35.40099,,518966
"IV","seniority_gap","var3",3742.347444639722,8544.9023,.66141558,35.40099,.096121535,468443
"IV","seniority_gap","var5",176.4236975561557,212.0883,.40550333,35.40099,.096121535,468443
"OLS","rent_hhi_seniority","var3",-2.607831948980838,5.8042288,.65321839,35.40099,,499929
"OLS","rent_hhi_seniority","var5",-4.195629351543807,1.6283166,.0099789118,35.40099,,499929
"IV","rent_hhi_seniority","var3",5897.254253104544,23321.463,.80037135,35.40099,.012041156,451282
"IV","rent_hhi_seniority","var5",-990.8803384395063,4062.8108,.8073169,35.40099,.012041156,451282
"OLS","rent_hhi_gap","var3",-3.372869989278667,1.5039093,.024918683,35.40099,,499924
"OLS","rent_hhi_gap","var5",-4.248553994418089,1.6100771,.0083246166,35.40099,,499924
"IV","rent_hhi_gap","var3",-9239.422654474156,207995.06,.96456873,35.40099,.0003745142,451277
"IV","rent_hhi_gap","var5",2496.923058056118,55568.855,.96416026,35.40099,.0003745142,451277
"OLS","rent_seniority_gap","var3",-5.755241671165452,5.7224789,.31455305,35.40099,,499950
"OLS","rent_seniority_gap","var5",-4.188580230733471,1.6115522,.0093499431,35.40099,,499950
"IV","rent_seniority_gap","var3",7306.889826232759,43049.121,.86522031,35.40099,.0028928402,451297
"IV","rent_seniority_gap","var5",-589.0853745803382,6051.6401,.92245442,35.40099,.0028928402,451297
"OLS","hhi_seniority_gap","var3",-4.611212569322643,5.8167067,.42792562,35.40099,,518934
"OLS","hhi_seniority_gap","var5",-3.561179650713089,1.5909771,.02520223,35.40099,,518934
"IV","hhi_seniority_gap","var3",4147.695482578606,9770.8281,.67120486,35.40099,.065316454,468417
"IV","hhi_seniority_gap","var5",163.7040753839968,196.39772,.40454841,35.40099,.065316454,468417
"OLS","rent_hhi_seniority_gap","var3",-5.001193305545652,5.8633885,.39368999,35.40099,,499924
"OLS","rent_hhi_seniority_gap","var5",-4.242494367594874,1.6285139,.0091868499,35.40099,,499924
"IV","rent_hhi_seniority_gap","var3",-4852.60707111287,110070.82,.96483588,35.40099,.0007536856,451277
"IV","rent_hhi_seniority_gap","var5",2338.494899578131,33689.055,.94466037,35.40099,.0007536856,451277
