model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-.9685349016218959,.79069275,.22066544,85.657608,,52995
"OLS","baseline","var5",4.379824581420247,1.9596688,.025464168,85.657608,,52995
"IV","baseline","var3",-6.170255873720182,7.4979033,.41058803,85.657608,26.053556,52995
"IV","baseline","var5",16.93540238694491,9.3697786,.070754528,85.657608,26.053556,52995
"OLS","rent","var3",.2977323896058517,1.786595,.86765426,85.657608,,51405
"OLS","rent","var5",2.741005302368181,1.6558567,.097922459,85.657608,,51405
"IV","rent","var3",-450.4284175754356,882.67822,.60986811,85.657608,.088857584,47784
"IV","rent","var5",72.73319511379384,119.08273,.54137683,85.657608,.088857584,47784
"OLS","hhi","var3",-1.142842085575927,.98427397,.2456581,85.657608,,52982
"OLS","hhi","var5",3.889327866578979,2.2429037,.082971521,85.657608,,52982
"IV","hhi","var3",67.76501425712205,273.16196,.80408633,85.657608,.030110424,49233
"IV","hhi","var5",114.0815262033622,348.68979,.74355263,85.657608,.030110424,49233
"OLS","seniority","var3",.4854663546045858,6.645999,.94177222,85.657608,,52995
"OLS","seniority","var5",4.348014162856162,1.9902462,.028961696,85.657608,,52995
"IV","seniority","var3",-5614.705823046013,14831.291,.70502335,85.657608,.11624599,49246
"IV","seniority","var5",4.498494457270735,102.83107,.96510839,85.657608,.11624599,49246
"OLS","gap","var3",1.8489156267334,2.3753684,.43638909,85.657608,,52995
"OLS","gap","var5",4.0313533718007,1.9702874,.040803276,85.657608,,52995
"IV","gap","var3",12.47833609548777,36.184612,.73022127,85.657608,1.2522871,49246
"IV","gap","var5",12.49352647820913,14.68265,.39486665,85.657608,1.2522871,49246
"OLS","rent_hhi","var3",.4956085481265222,1.8409048,.78777218,85.657608,,51392
"OLS","rent_hhi","var5",2.286238728283305,1.8333929,.21246016,85.657608,,51392
"IV","rent_hhi","var3",-180.1988145674059,1023.243,.86021888,85.657608,.039877873,47771
"IV","rent_hhi","var5",158.2655046564719,276.13187,.56657046,85.657608,.039877873,47771
"OLS","rent_seniority","var3",2.08753675114613,6.5252075,.74904412,85.657608,,51405
"OLS","rent_seniority","var5",2.715676570413025,1.6640892,.10276139,85.657608,,51405
"IV","rent_seniority","var3",126.9385533099257,631.45148,.8406868,85.657608,.083691783,47784
"IV","rent_seniority","var5",40.41939580736481,46.847599,.3883017,85.657608,.083691783,47784
"OLS","rent_gap","var3",3.110419842119925,2.8198669,.27006727,85.657608,,51405
"OLS","rent_gap","var5",2.503766059833914,1.6569923,.13084798,85.657608,,51405
"IV","rent_gap","var3",-398.8254960109976,639.07294,.53261399,85.657608,.095221207,47784
"IV","rent_gap","var5",63.41442079775529,88.626106,.47432017,85.657608,.095221207,47784
"OLS","hhi_seniority","var3",1.077964080018116,6.6996074,.87217921,85.657608,,52982
"OLS","hhi_seniority","var5",3.799896864057767,2.2654929,.093549915,85.657608,,52982
"IV","hhi_seniority","var3",962.1636978921412,5330.9814,.85677952,85.657608,.0086483769,49233
"IV","hhi_seniority","var5",-162.470564093953,1072.0684,.8795495,85.657608,.0086483769,49233
"OLS","hhi_gap","var3",1.737259061298242,2.3645146,.46254504,85.657608,,52982
"OLS","hhi_gap","var5",3.297218753623058,2.2664855,.14579763,85.657608,,52982
"IV","hhi_gap","var3",72.9859863472679,501.24133,.88423526,85.657608,.0042927717,49233
"IV","hhi_gap","var5",128.4179421007015,947.8349,.89223385,85.657608,.0042927717,49233
"OLS","seniority_gap","var3",3.303862301531309,7.1746292,.64518356,85.657608,,52995
"OLS","seniority_gap","var5",3.999292837580154,2.0002308,.045619432,85.657608,,52995
