model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-1.234691111793582,.4958927,.012784773,49.920048,,224708
"OLS","baseline","var5",6.208443761660881,1.2709126,1.0386418e-06,49.920048,,224708
"IV","baseline","var3",-9.263295220308645,4.0135946,.021005984,49.920048,123.43131,224708
"IV","baseline","var5",12.45296429766657,5.3928666,.020940708,49.920048,123.43131,224708
"OLS","rent","var3",-1.106910052046677,.63017589,.079010263,49.920048,,218112
"OLS","rent","var5",4.075388338569863,1.2656538,.0012831503,49.920048,,218112
"IV","rent","var3",-990.0422690047477,3169.0627,.75473201,49.920048,.031472277,203754
"IV","rent","var5",-182.3112131866093,642.58154,.77662915,49.920048,.031472277,203754
"OLS","hhi","var3",-1.541262832279269,.62728286,.014013229,49.920048,,224596
"OLS","hhi","var5",6.068145746949884,1.2868847,2.4218041e-06,49.920048,,224596
"IV","hhi","var3",-187.9995655186736,95.53093,.049082581,49.920048,2.1793308,209684
"IV","hhi","var5",-14.50556336469591,16.535273,.38035724,49.920048,2.1793308,209684
"OLS","seniority","var3",2.652414382420954,5.8458319,.65002781,49.920048,,224708
"OLS","seniority","var5",6.087835534689857,1.2795666,1.9654938e-06,49.920048,,224708
"IV","seniority","var3",-21799.93863422204,13665.661,.11066906,49.920048,.95633161,209788
"IV","seniority","var5",-310.1074032021147,255.36667,.22461824,49.920048,.95633161,209788
"OLS","gap","var3",-.1900799909912769,.61290932,.75646585,49.920048,,224708
"OLS","gap","var5",6.309409765079084,1.2714998,7.0028909e-07,49.920048,,224708
"IV","gap","var3",-235.2843280389179,160.47363,.14260671,49.920048,.90900189,209788
"IV","gap","var5",173.6389018713665,118.19707,.14182508,49.920048,.90900189,209788
"OLS","rent_hhi","var3",-1.207004450525573,.71489006,.091347776,49.920048,,218032
"OLS","rent_hhi","var5",4.062389830903101,1.2786727,.0014891919,49.920048,,218032
"IV","rent_hhi","var3",-677.8810344181295,982.92615,.49041533,49.920048,.17141728,203676
