model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.4038293232118806,.35785431,.25912547,33.241905,,519099
"OLS","baseline","var5",-3.11315743481104,1.4369022,.030272206,33.241905,,519099
"IV","baseline","var3",19.23840835835571,4.4562726,.000015837681,33.241905,128.02827,519099
"IV","baseline","var5",-10.95767221151503,8.1216831,.17728327,33.241905,128.02827,519099
"OLS","rent","var3",.2800591290876915,.3694652,.44844759,33.241905,,500083
"OLS","rent","var5",-3.220919019036856,1.4513329,.026472334,33.241905,,500083
"IV","rent","var3",24.25939990945937,6.3576026,.00013591582,33.241905,65.52787,500083
"IV","rent","var5",-17.67352654765821,9.9893103,.076859847,33.241905,65.52787,500083
"OLS","hhi","var3",.3997745542249391,.35784832,.26393074,33.241905,,519060
"OLS","hhi","var5",-3.154571270546526,1.4374214,.028196847,33.241905,,519060
"IV","hhi","var3",19.05674533836099,4.4702449,.000020207317,33.241905,128.12576,519060
"IV","hhi","var5",-11.70806634355985,8.1204262,.1493642,33.241905,128.12576,519060
"OLS","seniority","var3",.4054597609298738,.35812807,.25757119,33.241905,,519099
"OLS","seniority","var5",-3.100881025911709,1.437796,.031034818,33.241905,,519099
"IV","seniority","var3",19.42386592935319,4.4916282,.00001532193,33.241905,126.36627,519099
"IV","seniority","var5",-9.571693904665191,8.1416779,.2397441,33.241905,126.36627,519099
"OLS","gap","var3",.3677324793510307,.35258922,.2969774,33.241905,,519099
"OLS","gap","var5",-2.138754220898194,.42703763,5.5096029e-07,33.241905,,519099
"IV","gap","var3",19.06468555926259,4.4969511,.000022447432,33.241905,125.37379,519094
"IV","gap","var5",-10.83359061532966,8.1323643,.18281485,33.241905,125.37379,519094
"OLS","rent_hhi","var3",.2696806654121218,.36949524,.46547806,33.241905,,500050
"OLS","rent_hhi","var5",-3.28091905176993,1.4515704,.023810117,33.241905,,500050
"IV","rent_hhi","var3",24.29517328108627,6.4950919,.00018384676,33.241905,63.420071,500050
"IV","rent_hhi","var5",-17.66661733721151,9.8948326,.074196815,33.241905,63.420071,500050
"OLS","rent_seniority","var3",.2777660872734068,.3698158,.45260051,33.241905,,500083
"OLS","rent_seniority","var5",-3.236147563070431,1.4526815,.025904967,33.241905,,500083
"IV","rent_seniority","var3",24.6308050656964,6.4563727,.00013638391,33.241905,63.874512,500083
"IV","rent_seniority","var5",-16.20184724535563,9.8951283,.10156298,33.241905,63.874512,500083
"OLS","rent_gap","var3",.2225792511735899,.36945376,.54687428,33.241905,,500078
"OLS","rent_gap","var5",-3.287518381338717,1.4510875,.023483297,33.241905,,500078
"IV","rent_gap","var3",24.23175547356164,6.3868918,.00014844089,33.241905,64.881584,500078
"IV","rent_gap","var5",-17.65421335697352,9.9995298,.077485725,33.241905,64.881584,500078
"OLS","hhi_seniority","var3",.3973925888088015,.35815629,.26719829,33.241905,,519060
"OLS","hhi_seniority","var5",-3.172546735100728,1.4388841,.027468299,33.241905,,519060
"IV","hhi_seniority","var3",19.37757026990313,4.5416412,.000019882098,33.241905,125.06036,519060
"IV","hhi_seniority","var5",-9.817695225871576,8.1593266,.22888631,33.241905,125.06036,519060
"OLS","hhi_gap","var3",.3582587785415817,.35782695,.31673199,33.241905,,519055
