model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-2.792290871596399,.98595017,.0046437993,50.301693,,52718
"OLS","baseline","var5",9.773255888112216,2.6826656,.00027219325,50.301693,,52718
"IV","baseline","var3",-19.29558249684252,8.7924824,.028243126,50.301693,25.601345,52718
"IV","baseline","var5",33.66756588896539,12.315475,.0062844176,50.301693,25.601345,52718
"OLS","rent","var3",-2.269839823518174,1.0343304,.028248189,50.301693,,51144
"OLS","rent","var5",8.326468679704641,2.7205718,.0022217343,50.301693,,51144
"IV","rent","var3",-20.9532403141825,10.1179,.038421925,50.301693,19.185879,51144
"IV","rent","var5",34.85443812312962,13.746361,.011259612,50.301693,19.185879,51144
"OLS","hhi","var3",-2.726318517670642,.98754853,.0057897065,50.301693,,52705
"OLS","hhi","var5",9.43775571833555,2.6930962,.00046175459,50.301693,,52705
"IV","hhi","var3",-19.81971918622181,8.4977093,.019722719,50.301693,27.250599,52705
"IV","hhi","var5",32.11732322028148,12.702586,.011489771,50.301693,27.250599,52705
"OLS","seniority","var3",-2.762756780954936,.98886198,.0052286345,50.301693,,52718
"OLS","seniority","var5",9.848334143105156,2.6901262,.00025400508,50.301693,,52718
"IV","seniority","var3",-19.65904910798805,9.059514,.030056342,50.301693,24.174425,52718
"IV","seniority","var5",35.09495035276746,12.608542,.0053997678,50.301693,24.174425,52718
"OLS","gap","var3",-2.691328547646093,.98579854,.006354528,50.301693,,52718
"OLS","gap","var5",10.25162374188693,2.7091651,.00015616814,50.301693,,52718
"IV","gap","var3",-19.18579092222708,8.7897615,.02910284,50.301693,25.656612,52718
"IV","gap","var5",33.91773308224501,12.367388,.0061196135,50.301693,25.656612,52718
"OLS","rent_hhi","var3",-2.232583696818423,1.0344582,.030961622,50.301693,,51131
"OLS","rent_hhi","var5",7.96402816062441,2.7272902,.0035155674,50.301693,,51131
"IV","rent_hhi","var3",-21.95336337451666,9.9143124,.026855316,50.301693,20.07901,51131
"IV","rent_hhi","var5",33.14669027053432,14.34868,.020926539,50.301693,20.07901,51131
"OLS","rent_seniority","var3",-2.229542814542794,1.0389527,.031927925,50.301693,,51144
"OLS","rent_seniority","var5",8.398406616066522,2.7252479,.0020701257,50.301693,,51144
"IV","rent_seniority","var3",-21.46563347048932,10.510835,.041183632,50.301693,17.871727,51144
"IV","rent_seniority","var5",36.37165335743112,14.109051,.0099706305,50.301693,17.871727,51144
"OLS","rent_gap","var3",-2.249213117618653,1.0334585,.02957548,50.301693,,51144
"OLS","rent_gap","var5",8.77857172978767,2.745863,.0013977798,50.301693,,51144
"IV","rent_gap","var3",-20.79148645820624,10.100541,.039601762,50.301693,19.199799,51144
"IV","rent_gap","var5",34.61503404639054,13.71508,.011639919,50.301693,19.199799,51144
"OLS","hhi_seniority","var3",-2.724769107237423,.98918808,.0058993311,50.301693,,52705
"OLS","hhi_seniority","var5",9.519618434565578,2.7165244,.00046190733,50.301693,,52705
"IV","hhi_seniority","var3",-20.47556805737797,8.8273611,.020406438,50.301693,25.516346,52705
"IV","hhi_seniority","var5",34.41984896726716,13.470211,.010641392,50.301693,25.516346,52705
"OLS","hhi_gap","var3",-2.61410934704139,.98681146,.0080982614,50.301693,,52705
"OLS","hhi_gap","var5",9.901448823811203,2.7163873,.00027012653,50.301693,,52705
"IV","hhi_gap","var3",-19.79397483620645,8.4815807,.019649196,50.301693,27.459789,52705
"IV","hhi_gap","var5",32.3099053368933,12.718111,.011101664,50.301693,27.459789,52705
"OLS","seniority_gap","var3",-2.672131603582601,.98827845,.0068787099,50.301693,,52718
"OLS","seniority_gap","var5",10.33162856078452,2.7154531,.00014370494,50.301693,,52718
"IV","seniority_gap","var3",-19.58174601812267,9.0531883,.030592747,50.301693,24.24646,52718
"IV","seniority_gap","var5",35.34012955023083,12.650346,.0052329185,50.301693,24.24646,52718
"OLS","rent_hhi_seniority","var3",-2.227637341487268,1.0377359,.031873669,50.301693,,51131
"OLS","rent_hhi_seniority","var5",8.058990318498447,2.7486715,.0033845922,50.301693,,51131
"IV","rent_hhi_seniority","var3",-22.99287576942901,10.476138,.028227795,50.301693,18.255312,51131
"IV","rent_hhi_seniority","var5",35.94060500520445,15.251875,.018490365,50.301693,18.255312,51131
"OLS","rent_hhi_gap","var3",-2.207182216531952,1.0330389,.03268278,50.301693,,51131
