model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-1.234691111794926,.4958927,.012784773,49.920048,,224708
"OLS","baseline","var5",6.208443761661703,1.2709126,1.0386418e-06,49.920048,,224708
"IV","baseline","var3",-9.263295220308457,4.0135946,.021005984,49.920048,123.43131,224708
"IV","baseline","var5",12.45296429766617,5.3928666,.020940708,49.920048,123.43131,224708
"OLS","rent","var3",-.9264597132025568,.5138312,.071390182,49.920048,,218112
"OLS","rent","var5",4.011272849365814,1.2563322,.0014100504,49.920048,,218112
"IV","rent","var3",-8.491457187748805,5.2816501,.10790388,49.920048,68.317734,218112
"IV","rent","var5",10.90579868277235,6.4752412,.092146158,49.920048,68.317734,218112
"OLS","hhi","var3",-1.283483689165724,.49586016,.0096462695,49.920048,,224596
"OLS","hhi","var5",6.223610548708916,1.2715955,9.9072668e-07,49.920048,,224596
"IV","hhi","var3",-9.124175720501801,3.9951701,.022389082,49.920048,123.2579,224596
"IV","hhi","var5",12.61785692189158,5.3722396,.018843809,49.920048,123.2579,224596
"OLS","seniority","var3",-1.18930147448995,.49736622,.016798638,49.920048,,224708
"OLS","seniority","var5",6.145516597104246,1.2782358,1.5321593e-06,49.920048,,224708
"IV","seniority","var3",-9.279730808315994,4.1153097,.024143867,49.920048,117.47795,224708
"IV","seniority","var5",12.30043204843879,5.5188642,.025833607,49.920048,117.47795,224708
"OLS","gap","var3",-1.184793022421861,.49632147,.016984835,49.920048,,224708
"OLS","gap","var5",6.180164713809024,1.2700505,1.1432273e-06,49.920048,,224708
"IV","gap","var3",-9.021994410980906,4.17836,.030839857,49.920048,113.94212,224708
"IV","gap","var5",12.2587863828382,5.5213699,.026408523,49.920048,113.94212,224708
"OLS","rent_hhi","var3",-.9893175968773752,.51539272,.054924101,49.920048,,218032
"OLS","rent_hhi","var5",4.054879286763388,1.2579672,.0012681442,49.920048,,218032
"IV","rent_hhi","var3",-8.667372283800351,5.3424196,.10473362,49.920048,66.458519,218032
"IV","rent_hhi","var5",11.25938090130876,6.5246577,.084416427,49.920048,66.458519,218032
"OLS","rent_seniority","var3",-.8751895038173299,.51541674,.089512423,49.920048,,218112
"OLS","rent_seniority","var5",3.947022615927073,1.2654287,.0018154177,49.920048,,218112
"IV","rent_seniority","var3",-8.47476178224802,5.4745183,.12162233,49.920048,63.68214,218112
"IV","rent_seniority","var5",10.80477065457197,6.6708198,.10530443,49.920048,63.68214,218112
"OLS","rent_gap","var3",-.9251038538502316,.51369649,.071731091,49.920048,,218112
"OLS","rent_gap","var5",4.035585312348378,1.2552235,.0013054921,49.920048,,218112
"IV","rent_gap","var3",-8.433524411880407,5.2986217,.11147365,49.920048,68.1931,218112
"IV","rent_gap","var5",10.86429593997293,6.493156,.094298571,49.920048,68.1931,218112
"OLS","hhi_seniority","var3",-1.242727742792997,.49748975,.01249423,49.920048,,224596
"OLS","hhi_seniority","var5",6.180159985391041,1.2793102,1.3651596e-06,49.920048,,224596
"IV","hhi_seniority","var3",-9.174687020120773,4.0993867,.025223115,49.920048,117.2427,224596
"IV","hhi_seniority","var5",12.59569055197993,5.504015,.022116894,49.920048,117.2427,224596
"OLS","hhi_gap","var3",-1.235402868967517,.49635938,.012817432,49.920048,,224596
"OLS","hhi_gap","var5",6.195871562467748,1.2707,1.0875318e-06,49.920048,,224596
"IV","hhi_gap","var3",-8.953939852485801,4.1687803,.031731945,49.920048,113.66198,224596
"IV","hhi_gap","var5",12.48902419312036,5.5069494,.023343354,49.920048,113.66198,224596
"OLS","seniority_gap","var3",-1.141376132199025,.49768972,.021833751,49.920048,,224708
"OLS","seniority_gap","var5",6.116300950090024,1.2773229,1.6881485e-06,49.920048,,224708
"IV","seniority_gap","var3",-9.03485344286684,4.2808337,.034819197,49.920048,108.58419,224708
"IV","seniority_gap","var5",12.08478271503845,5.6462212,.032334812,49.920048,108.58419,224708
"OLS","rent_hhi_seniority","var3",-.9383012963108829,.51736206,.069743998,49.920048,,218032
"OLS","rent_hhi_seniority","var5",4.00027659103769,1.2676178,.0016022695,49.920048,,218032
"IV","rent_hhi_seniority","var3",-8.714721388406112,5.566401,.11745296,49.920048,61.389816,218032
"IV","rent_hhi_seniority","var5",11.27007135358248,6.7512965,.095063128,49.920048,61.389816,218032
"OLS","rent_hhi_gap","var3",-.9878402720323111,.51523829,.055214498,49.920048,,218032
"OLS","rent_hhi_gap","var5",4.076793322001494,1.2567793,.0011804118,49.920048,,218032
"IV","rent_hhi_gap","var3",-8.619334713774869,5.3633876,.10804835,49.920048,66.266266,218032
"IV","rent_hhi_gap","var5",11.22296743949501,6.5448623,.086395428,49.920048,66.266266,218032
"OLS","rent_seniority_gap","var3",-.8742699143061885,.51530099,.089777544,49.920048,,218112
"OLS","rent_seniority_gap","var5",3.970485934301578,1.2641009,.0016853896,49.920048,,218112
"IV","rent_seniority_gap","var3",-8.416446962595762,5.4864826,.12503062,49.920048,63.659771,218112
"IV","rent_seniority_gap","var5",10.75447869663543,6.6827559,.10756253,49.920048,63.659771,218112
"OLS","hhi_seniority_gap","var3",-1.195899168919393,.49788335,.016312309,49.920048,,224596
"OLS","hhi_seniority_gap","var5",6.150465427531796,1.2783461,1.5059137e-06,49.920048,,224596
"IV","hhi_seniority_gap","var3",-9.001594112623456,4.2761621,.035292763,49.920048,108.14095,224596
"IV","hhi_seniority_gap","var5",12.44336182525342,5.6390848,.027346445,49.920048,108.14095,224596
"OLS","rent_hhi_seniority_gap","var3",-.9372580685492757,.51722419,.069980577,49.920048,,218032
"OLS","rent_hhi_seniority_gap","var5",4.021018980239559,1.2661675,.0014958605,49.920048,,218032
"IV","rent_hhi_seniority_gap","var3",-8.664662353988984,5.582262,.12062888,49.920048,61.295231,218032
