model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-1.034994963438692,.48185697,.031726029,49.908962,,229710
"OLS","baseline","var5",5.245277868065608,1.2365696,.000022229389,49.908962,,229710
"IV","baseline","var3",-4.574851355064523,3.3941309,.17770836,49.908962,180.12698,229710
"IV","baseline","var5",9.778056241991516,5.440515,.072301723,49.908962,180.12698,229710
"OLS","rent","var3",-.7251207631970733,.49994043,.14695202,49.908962,,222851
"OLS","rent","var5",2.955838263723813,1.2285999,.016139666,49.908962,,222851
"IV","rent","var3",-1.437462383837263,4.6981359,.7596336,49.908962,91.130203,222851
"IV","rent","var5",3.39961032257279,6.724277,.61315989,49.908962,91.130203,222851
"OLS","hhi","var3",-1.032811272911153,.48188636,.032098364,49.908962,,229620
"OLS","hhi","var5",5.386802616353934,1.2481235,.000015936521,49.908962,,229620
"IV","hhi","var3",-4.602003748869889,3.38957,.17456892,49.908962,181.08838,229620
"IV","hhi","var5",11.18667301947712,5.7654643,.052352309,49.908962,181.08838,229620
"OLS","seniority","var3",-.9823291008785277,.48322028,.042071968,49.908962,,229710
"OLS","seniority","var5",5.171122660052796,1.2436157,.000032160286,49.908962,,229710
"IV","seniority","var3",-4.417887902714198,3.482295,.20456657,49.908962,171.25606,229710
"IV","seniority","var5",9.566669190630694,5.5448408,.084477015,49.908962,171.25606,229710
"OLS","gap","var3",-.9992246588907081,.48176205,.038076773,49.908962,,229710
"OLS","gap","var5",5.249906050131721,1.2378526,.000022294545,49.908962,,229710
"IV","gap","var3",-4.224515041975272,3.4266131,.21763819,49.908962,176.23289,229710
"IV","gap","var5",9.589026256139535,5.5649085,.084874779,49.908962,176.23289,229710
"OLS","rent_hhi","var3",-.7348724860193213,.49974728,.14143859,49.908962,,222798
"OLS","rent_hhi","var5",3.096459740196328,1.2424418,.012698725,49.908962,,222798
"IV","rent_hhi","var3",-1.657513790109015,4.7145853,.72516179,49.908962,91.203148,222798
"IV","rent_hhi","var5",4.565847393622401,7.1556468,.52342832,49.908962,91.203148,222798
"OLS","rent_seniority","var3",-.6680598937893785,.50136185,.18270779,49.908962,,222851
"OLS","rent_seniority","var5",2.876252419738401,1.2373052,.020098522,49.908962,,222851
"IV","rent_seniority","var3",-1.086270359096004,4.8716426,.82355374,49.908962,84.953735,222851
"IV","rent_seniority","var5",2.975152789619367,6.8978505,.66624135,49.908962,84.953735,222851
"OLS","rent_gap","var3",-.7152830304067865,.4997679,.15237315,49.908962,,222851
"OLS","rent_gap","var5",2.98590287661627,1.2311771,.015303215,49.908962,,222851
"IV","rent_gap","var3",-1.116537210924811,4.7119346,.81268966,49.908962,90.424286,222851
"IV","rent_gap","var5",3.200253011042121,6.8476658,.64025277,49.908962,90.424286,222851
"OLS","hhi_seniority","var3",-.9895740939727399,.48311731,.040536899,49.908962,,229620
"OLS","hhi_seniority","var5",5.356738860741819,1.2613461,.000021735097,49.908962,,229620
"IV","hhi_seniority","var3",-4.480423912469086,3.4822738,.198229,49.908962,172.28812,229620
"IV","hhi_seniority","var5",11.29132400661519,6.0322833,.061240237,49.908962,172.28812,229620
"OLS","hhi_gap","var3",-.9972612216668422,.48176086,.038456351,49.908962,,229620
"OLS","hhi_gap","var5",5.389134613278081,1.2499276,.000016254229,49.908962,,229620
"IV","hhi_gap","var3",-4.253621201509639,3.4220264,.2138714,49.908962,177.16847,229620
"IV","hhi_gap","var5",11.03955455547576,5.9086666,.061719175,49.908962,177.16847,229620
"OLS","seniority_gap","var3",-.9482749560014365,.4830147,.049625751,49.908962,,229710
"OLS","seniority_gap","var5",5.178477025113869,1.2431459,.000031123156,49.908962,,229710
"IV","seniority_gap","var3",-4.066016762795995,3.5137267,.24720629,49.908962,167.6599,229710
"IV","seniority_gap","var5",9.371135151710588,5.6495972,.097179726,49.908962,167.6599,229710
"OLS","rent_hhi_seniority","var3",-.6829145196961517,.50121289,.17304143,49.908962,,222798
"OLS","rent_hhi_seniority","var5",3.043698804374123,1.2582557,.015569072,49.908962,,222798
"IV","rent_hhi_seniority","var3",-1.317275091660407,4.9294558,.78929728,49.908962,83.825287,222798
"IV","rent_hhi_seniority","var5",4.263343072926893,7.5489478,.57224071,49.908962,83.825287,222798
"OLS","rent_hhi_gap","var3",-.7250880357471413,.49957407,.14667405,49.908962,,222798
"OLS","rent_hhi_gap","var5",3.125521589054905,1.245638,.012105908,49.908962,,222798
"IV","rent_hhi_gap","var3",-1.336570737550369,4.728333,.7774294,49.908962,90.475143,222798
"IV","rent_hhi_gap","var5",4.400206014077301,7.3052244,.54695386,49.908962,90.475143,222798
"OLS","rent_seniority_gap","var3",-.6594140402566978,.50115699,.18825543,49.908962,,222851
"OLS","rent_seniority_gap","var5",2.908213675405196,1.2378367,.018807612,49.908962,,222851
"IV","rent_seniority_gap","var3",-.7633303431192437,4.8836932,.87579602,49.908962,84.320427,222851
"IV","rent_seniority_gap","var5",2.777227600523974,7.0004797,.69157666,49.908962,84.320427,222851
"OLS","hhi_seniority_gap","var3",-.9556184967515138,.482898,.047832213,49.908962,,229620
"OLS","hhi_seniority_gap","var5",5.352998758117384,1.2607814,.000021838483,49.908962,,229620
"IV","hhi_seniority_gap","var3",-4.129940525930936,3.5137382,.23985475,49.908962,168.61594,229620
"IV","hhi_seniority_gap","var5",11.0818260938104,6.1316934,.070723496,49.908962,168.61594,229620
"OLS","rent_hhi_seniority_gap","var3",-.6745269691360257,.50102055,.1782126,49.908962,,222798
"OLS","rent_hhi_seniority_gap","var5",3.067734379981714,1.2587823,.01481198,49.908962,,222798
"IV","rent_hhi_seniority_gap","var3",-.9936341418707942,4.9410934,.84062469,49.908962,83.180832,222798
"IV","rent_hhi_seniority_gap","var5",4.058862976264585,7.6521339,.59582251,49.908962,83.180832,222798
