model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.0351778073279008,.45293397,.93809378,77.28447,,229862
"OLS","baseline","var5",3.348483273345748,1.049727,.0014246384,77.28447,,229862
"IV","baseline","var3",3.879417363676877,3.995425,.33157232,77.28447,140.59665,229862
"IV","baseline","var5",.6094645463571791,4.8571873,.90014678,77.28447,140.59665,229862
"OLS","rent","var3",-1.645493022009462,1.0277011,.10935507,77.28447,,223003
"OLS","rent","var5",.9632944295045709,1.0112996,.34083423,77.28447,,223003
"IV","rent","var3",1012.571226518262,1603.1731,.52764976,77.28447,.13658817,208209
"IV","rent","var5",-93.69637206627976,147.8723,.52632648,77.28447,.13658817,208209
"OLS","hhi","var3",.2543059369573407,.54421896,.64029807,77.28447,,229741
"OLS","hhi","var5",3.543108863319504,1.1177267,.0015260722,77.28447,,229741
"IV","hhi","var3",-2490.447019800093,111839.08,.98223418,77.28447,.00016587329,214370
"IV","hhi","var5",-1802.813117848131,80905.719,.98222244,77.28447,.00016587329,214370
"OLS","seniority","var3",1.295279672055389,4.2817087,.76226151,77.28447,,229862
"OLS","seniority","var5",3.299118743824914,1.0601808,.0018606799,77.28447,,229862
"IV","seniority","var3",-39886.87817937409,70451.93,.57129049,77.28447,.11234424,214482
"IV","seniority","var5",-519.513810302645,970.38702,.59239918,77.28447,.11234424,214482
"OLS","gap","var3",3.219415104373959,1.3896247,.020522896,77.28447,,229862
"OLS","gap","var5",3.136522478892034,1.0529264,.0028951499,77.28447,,229862
"IV","gap","var3",340.6512506824919,359.28616,.34306821,77.28447,.30820978,214482
"IV","gap","var5",-97.59933783315863,110.52965,.37723437,77.28447,.30820978,214482
"OLS","rent_hhi","var3",-1.42244849382159,1.0668261,.18242694,77.28447,,222919
"OLS","rent_hhi","var5",1.24683641777969,1.0700366,.24393475,77.28447,,222919
"IV","rent_hhi","var3",320.7774836681712,487.82651,.51082247,77.28447,.30073139,208127
"IV","rent_hhi","var5",26.61910938352175,131.26154,.83929694,77.28447,.30073139,208127
"OLS","rent_seniority","var3",.910615265870671,4.255928,.83057642,77.28447,,223003
"OLS","rent_seniority","var5",.8665464979726365,1.0194427,.39531991,77.28447,,223003
"IV","rent_seniority","var3",1542.205098052655,2990.1199,.60602057,77.28447,.10114172,208209
"IV","rent_seniority","var5",-68.68529641967579,140.64568,.62530023,77.28447,.10114172,208209
"OLS","rent_gap","var3",1.539008851748387,1.6886936,.36211172,77.28447,,223003
"OLS","rent_gap","var5",.8066191903678529,1.0153482,.42695275,77.28447,,223003
"IV","rent_gap","var3",-184.1096241520701,3864.9182,.96200657,77.28447,.008734093,208209
"IV","rent_gap","var5",-294.155529713319,1050.8833,.77954626,77.28447,.008734093,208209
"OLS","hhi_seniority","var3",2.097883396125637,4.3374977,.62862861,77.28447,,229741
"OLS","hhi_seniority","var5",3.490712155993529,1.1243752,.0019069858,77.28447,,229741
"IV","hhi_seniority","var3",1449.814329090981,5204.8062,.78058958,77.28447,.067555763,214370
"IV","hhi_seniority","var5",102.9669519903519,80.672218,.20183627,77.28447,.067555763,214370
"OLS","hhi_gap","var3",3.280071043863397,1.4041234,.019495295,77.28447,,229741
"OLS","hhi_gap","var5",3.274334520572393,1.1206506,.0034821508,77.28447,,229741
"IV","hhi_gap","var3",284.90938844726,228.603,.21266046,77.28447,.10039918,214370
"IV","hhi_gap","var5",-46.4743814452254,103.90279,.6546706,77.28447,.10039918,214370
"OLS","seniority_gap","var3",4.650782632315876,4.5267715,.30424142,77.28447,,229862
"OLS","seniority_gap","var5",3.083318272109898,1.0623007,.0037043355,77.28447,,229862
"IV","seniority_gap","var3",-10522.64339361203,30322.932,.72857893,77.28447,.04338425,214482
"IV","seniority_gap","var5",-438.7166736808815,714.45605,.53918183,77.28447,.04338425,214482
"OLS","rent_hhi_seniority","var3",1.726847158684464,4.3139849,.688945,77.28447,,222919
"OLS","rent_hhi_seniority","var5",1.148631703074854,1.0749972,.28530362,77.28447,,222919
"IV","rent_hhi_seniority","var3",721.0627071907247,997.35114,.46969864,77.28447,.13768372,208127
"IV","rent_hhi_seniority","var5",39.09443775884321,130.59639,.76467246,77.28447,.13768372,208127
"OLS","rent_hhi_gap","var3",1.569426385811941,1.6983726,.35545284,77.28447,,222919
"OLS","rent_hhi_gap","var5",1.018794837402202,1.0743825,.34300324,77.28447,,222919
"IV","rent_hhi_gap","var3",429.8586214757976,3709.5229,.90774852,77.28447,.00097012328,208127
"IV","rent_hhi_gap","var5",675.9950673886016,9773.3564,.944857,77.28447,.00097012328,208127
"OLS","rent_seniority_gap","var3",4.271494490900733,4.5052571,.34307829,77.28447,,223003
"OLS","rent_seniority_gap","var5",.7035442699902121,1.0225712,.49144796,77.28447,,223003
"IV","rent_seniority_gap","var3",7683.688935162163,42411.77,.85623622,77.28447,.0075062872,208209
"IV","rent_seniority_gap","var5",410.0931754341835,2665.2659,.87771648,77.28447,.0075062872,208209
"OLS","hhi_seniority_gap","var3",5.139831824090088,4.561717,.25986344,77.28447,,229741
"OLS","hhi_seniority_gap","var5",3.222794508634399,1.1265031,.0042270636,77.28447,,229741
"IV","hhi_seniority_gap","var3",5921.997308662852,37198.336,.87351179,77.28447,.0067614899,214370
"IV","hhi_seniority_gap","var5",379.9358649979488,1995.6342,.84900975,77.28447,.0067614899,214370
"OLS","rent_hhi_seniority_gap","var3",4.728406569070327,4.5410862,.29776669,77.28447,,222919
"OLS","rent_hhi_seniority_gap","var5",.9211056572623548,1.0785609,.39310339,77.28447,,222919
"IV","rent_hhi_seniority_gap","var3",1311.353349986142,2459.3933,.59389734,77.28447,.058591064,208127
"IV","rent_hhi_seniority_gap","var5",95.09287863248086,148.0462,.52067053,77.28447,.058591064,208127
