model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.3223180952495778,.25433677,.20505381,38.957355,,1226437
"OLS","baseline","var5",-.4054471835848097,.80943125,.61643946,38.957355,,1226437
"IV","baseline","var3",18.02349189356224,2.7742467,8.2315571e-11,38.957355,382.38348,1226437
"IV","baseline","var5",-14.02266577654806,4.1976786,.00083622517,38.957355,382.38348,1226437
"OLS","rent","var3",-.7766332229398029,.60067695,.1960371,38.957355,,1180667
"OLS","rent","var5",-1.596199775380646,.83405286,.055649061,38.957355,,1180667
"IV","rent","var3",845.2627953715902,646.13184,.19081104,38.957355,.5504871,1065931
"IV","rent","var5",-68.99502613527157,44.966751,.12494402,38.957355,.5504871,1065931
"OLS","hhi","var3",.3349572248601488,.32743147,.30631673,38.957355,,1226029
"OLS","hhi","var5",-.4333209188238359,.82849604,.60096025,38.957355,,1226029
"IV","hhi","var3",4.479613447769158,9.1132631,.62303901,38.957355,5.4093437,1106382
"IV","hhi","var5",-21.74756382571531,5.7585645,.00015906712,38.957355,5.4093437,1106382
"OLS","seniority","var3",-1.845520906902299,3.0694277,.54766834,38.957355,,1226437
"OLS","seniority","var5",-.350599291723657,.82243925,.66989559,38.957355,,1226437
"IV","seniority","var3",240570.7496263581,1215153,.84306431,38.957355,.013028094,1106741
"IV","seniority","var5",919.0267125293846,5230.7134,.86053133,38.957355,.013028094,1106741
"OLS","gap","var3",-.5969073948645593,.80028504,.45574787,38.957355,,1226427
"OLS","gap","var5",-.4261750708084575,.80989295,.59874189,38.957355,,1226427
"IV","gap","var3",-262.4307674204889,163.09253,.10759835,38.957355,1.4248595,1106736
"IV","gap","var5",68.84607510833273,49.11837,.16102594,38.957355,1.4248595,1106736
"OLS","rent_hhi","var3",-.8018935823577149,.63023877,.20324533,38.957355,,1180358
"OLS","rent_hhi","var5",-1.707597918873704,.85345393,.045414649,38.957355,,1180358
"IV","rent_hhi","var3",919.0846433303184,629.94946,.14457221,38.957355,.53541416,1065655
"IV","rent_hhi","var5",-96.46631035657381,60.325073,.10979865,38.957355,.53541416,1065655
"OLS","rent_seniority","var3",-1.461741557461373,3.1047084,.63777387,38.957355,,1180667
"OLS","rent_seniority","var5",-1.59031683287559,.84881848,.060992118,38.957355,,1180667
"IV","rent_seniority","var3",2917.110144855448,2491.3538,.24164338,38.957355,.59036332,1065931
"IV","rent_seniority","var5",-33.45895924718992,33.650146,.32006946,38.957355,.59036332,1065931
"OLS","rent_gap","var3",-1.695235947984342,.96503568,.078978263,38.957355,,1180657
"OLS","rent_gap","var5",-1.616585552230969,.83434135,.052678749,38.957355,,1180657
"IV","rent_gap","var3",-892.4904208836938,1074.0856,.4060142,38.957355,.27992827,1065926
"IV","rent_gap","var5",218.6390376210352,185.4631,.23844716,38.957355,.27992827,1065926
"OLS","hhi_seniority","var3",-1.478687865094316,3.1729963,.64119995,38.957355,,1226029
"OLS","hhi_seniority","var5",-.3988048068252394,.83711493,.63378727,38.957355,,1226029
"IV","hhi_seniority","var3",33720.00306792965,61878.555,.58579659,38.957355,.078605451,1106382
"IV","hhi_seniority","var5",114.2083089788736,278.69632,.68195701,38.957355,.078605451,1106382
"OLS","hhi_gap","var3",-.5788049070974187,.8187418,.47960201,38.957355,,1226019
"OLS","hhi_gap","var5",-.4450276978735916,.82878238,.59129202,38.957355,,1226019
"IV","hhi_gap","var3",-302.3790321652077,192.66888,.11655134,38.957355,.94165462,1106377
"IV","hhi_gap","var5",71.23768622581227,54.132229,.18817797,38.957355,.94165462,1106377
"OLS","seniority_gap","var3",-2.952335261664776,3.1923289,.35505992,38.957355,,1226427
"OLS","seniority_gap","var5",-.3635338040592169,.82278752,.65861136,38.957355,,1226427
"IV","seniority_gap","var3",-81.70615766008463,1408.871,.95375341,38.957355,1.6835017,1106736
"IV","seniority_gap","var5",69.48438702025759,32.463993,.03232782,38.957355,1.6835017,1106736
"OLS","rent_hhi_seniority","var3",-1.364748227110161,3.2083201,.67056179,38.957355,,1180358
"OLS","rent_hhi_seniority","var5",-1.707338119495514,.86326778,.04795723,38.957355,,1180358
"IV","rent_hhi_seniority","var3",3005.560131231975,2287.1362,.18880945,38.957355,.56851977,1065655
"IV","rent_hhi_seniority","var5",-62.18796929445965,45.881031,.17528646,38.957355,.56851977,1065655
"OLS","rent_hhi_gap","var3",-1.702011322194591,.97775,.081730522,38.957355,,1180348
"OLS","rent_hhi_gap","var5",-1.717731936624915,.85364002,.044195849,38.957355,,1180348
"IV","rent_hhi_gap","var3",-628.8102812688185,722.94232,.38441479,38.957355,.34646505,1065650
"IV","rent_hhi_gap","var5",170.1949896156445,133.80646,.20339318,38.957355,.34646505,1065650
"OLS","rent_seniority_gap","var3",-2.548840066717542,3.225585,.4294152,38.957355,,1180657
"OLS","rent_seniority_gap","var5",-1.601565855026433,.84902424,.059248116,38.957355,,1180657
"IV","rent_seniority_gap","var3",765.3394637066278,2316.6086,.7411204,38.957355,.28100103,1065926
"IV","rent_seniority_gap","var5",191.5136659771993,156.30608,.22048377,38.957355,.28100103,1065926
"OLS","hhi_seniority_gap","var3",-2.552336986873885,3.2843268,.43708527,38.957355,,1226019
"OLS","hhi_seniority_gap","var5",-.4050710019257591,.83737248,.62857068,38.957355,,1226019
"IV","hhi_seniority_gap","var3",120.0571515842343,1350.8049,.92917877,38.957355,1.9046493,1106377
"IV","hhi_seniority_gap","var5",67.86313970833503,31.765371,.032649372,38.957355,1.9046493,1106377
"OLS","rent_hhi_seniority_gap","var3",-2.415385847926978,3.3172624,.46653733,38.957355,,1180348
"OLS","rent_hhi_seniority_gap","var5",-1.71101499614892,.8634423,.047523376,38.957355,,1180348
"IV","rent_hhi_seniority_gap","var3",904.7855727426775,2071.0393,.66220254,38.957355,.30659571,1065650
"IV","rent_hhi_seniority_gap","var5",174.045073849757,138.71004,.20957498,38.957355,.30659571,1065650
