model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-2.749458029786347,1.0016515,.0060755084,50.38007,,51392
"OLS","baseline","var5",8.735788130293315,2.7215526,.0013369654,50.38007,,51392
"IV","baseline","var3",-18.50913262285759,9.4608097,.050477218,50.38007,22.241568,51392
"IV","baseline","var5",33.63957074397387,13.168551,.010664158,50.38007,22.241568,51392
"OLS","rent","var3",.1755012350736514,2.3287117,.93992823,50.38007,,51392
"OLS","rent","var5",8.504787062115298,2.7445171,.0019543695,50.38007,,51392
"IV","rent","var3",-662.2811258996204,1258.5236,.5987497,50.38007,.08886493,47771
"IV","rent","var5",117.0407507606864,170.7827,.49317741,50.38007,.08886493,47771
"OLS","hhi","var3",-2.520716964057728,1.2991894,.052412439,50.38007,,51392
"OLS","hhi","var5",8.331520771883996,2.9187925,.0043301601,50.38007,,51392
"IV","hhi","var3",123.2168891850097,577.60345,.8310836,50.38007,.023847582,47771
"IV","hhi","var5",211.0840360584251,709.68384,.76614898,50.38007,.023847582,47771
"OLS","seniority","var3",12.68553466741064,11.424928,.26691014,50.38007,,51392
"OLS","seniority","var5",8.091896144056648,2.7622092,.0034114127,50.38007,,51392
"IV","seniority","var3",-21312.50851377062,66029.289,.74688172,50.38007,.032178801,47771
"IV","seniority","var5",-47.814928073998,427.1568,.91087782,50.38007,.032178801,47771
"OLS","sdw","var3",3.923721425318818,3.3440325,.24071492,50.38007,,51392
"OLS","sdw","var5",8.243682077503435,2.7099609,.0023631635,50.38007,,51392
"IV","sdw","var3",35.38382528540195,66.984482,.59735936,50.38007,1.4531565,47771
"IV","sdw","var5",26.95710446134056,18.586979,.14703831,50.38007,1.4531565,47771
"OLS","rent_hhi","var3",1.137783767340062,2.4452174,.64173114,50.38007,,51392
"OLS","rent_hhi","var5",8.465728339810957,2.9235051,.0038000483,50.38007,,51392
"IV","rent_hhi","var3",-312.4862757085409,1438.4043,.82802719,50.38007,.039877873,47771
"IV","rent_hhi","var5",238.6795708534962,398.70782,.54944789,50.38007,.039877873,47771
"OLS","rent_seniority","var3",14.72975920815887,11.405178,.19659482,50.38007,,51392
"OLS","rent_seniority","var5",7.932500272793171,2.7883482,.0044621308,50.38007,,51392
"IV","rent_seniority","var3",160.3218192431393,922.15912,.86198735,50.38007,.08369863,47771
"IV","rent_seniority","var5",70.46930335194658,66.785896,.29141212,50.38007,.08369863,47771
"OLS","rent_sdw","var3",7.50557326200141,4.0759182,.06561964,50.38007,,51392
"OLS","rent_sdw","var5",8.238150039249271,2.7302616,.0025636468,50.38007,,51392
"IV","rent_sdw","var3",-653.1437252965692,1134.4066,.56480747,50.38007,.072328888,47771
"IV","rent_sdw","var5",102.9961996576982,136.58379,.45083573,50.38007,.072328888,47771
"OLS","hhi_seniority","var3",16.22900537266814,11.833498,.17030148,50.38007,,51392
