model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-2.657994954104617,.98556882,.0070228674,50.301693,,52995
"OLS","baseline","var5",9.17895740297539,2.6863484,.00063864922,50.301693,,52995
"IV","baseline","var3",-17.35999037759864,8.716362,.046465222,50.301693,26.053556,52995
"IV","baseline","var5",31.84583315094161,12.283092,.0095525673,50.301693,26.053556,52995
"OLS","sd_wage","var3",3.923721425318818,3.3440325,.24071492,50.38007,,51392
"OLS","sd_wage","var5",8.243682077503435,2.7099609,.0023631635,50.38007,,51392
"IV","sd_wage","var3",35.38382528540195,66.984482,.59735936,50.38007,1.4531565,47771
"IV","sd_wage","var5",26.95710446134056,18.586979,.14703831,50.38007,1.4531565,47771
"OLS","gap","var3",2.886637923443192,2.5885324,.26483729,50.38007,,51392
"OLS","gap","var5",8.483850868376846,2.7065797,.0017319279,50.38007,,51392
"IV","gap","var3",19.75912932303781,48.557907,.68408686,50.38007,1.2992221,47771
"IV","gap","var5",22.42343356082318,22.048819,.30921263,50.38007,1.2992221,47771
"OLS","sd_wage_gap","var3",2.402113195988578,3.8451936,.53219479,50.38007,,51392
"OLS","sd_wage_gap","var5",8.395625523484991,2.7214677,.0020476251,50.38007,,51392
"IV","sd_wage_gap","var3",125.2550313278352,601.7121,.83511001,50.38007,.011351004,47771
"IV","sd_wage_gap","var5",143.1342929449177,633.34277,.82121313,50.38007,.011351004,47771
