model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",-2.657994954105269,.98556882,.0070228674,50.301693,,52995
"OLS","total_contributions_q100","var5",9.178957402984004,2.6863484,.00063864928,50.301693,,52995
"OLS","total_contributions_q100","var4",-12.0098058566751,2.3349442,2.8034381e-07,50.301693,,52995
"IV","total_contributions_q100","var3",-17.35999037758972,8.716362,.046465222,50.301693,26.05355601841495,52995
"IV","total_contributions_q100","var5",31.84583315093817,12.283092,.0095525673,50.301693,26.05355601841495,52995
"IV","total_contributions_q100","var4",-28.78591496272555,9.5424223,.0025693995,50.301693,26.05355601841495,52995
"OLS","restricted_contributions_q100","var3",-1.961222056913072,.99326128,.048378751,49.794708,,52995
"OLS","restricted_contributions_q100","var5",8.304345372519775,2.6182249,.0015247645,49.794708,,52995
"OLS","restricted_contributions_q100","var4",-11.50695403629309,2.2905922,5.2552019e-07,49.794708,,52995
"IV","restricted_contributions_q100","var3",-19.25305762400207,8.8849459,.030289009,49.794708,26.05355601957008,52995
"IV","restricted_contributions_q100","var5",34.94444545469661,12.129029,.0039809188,49.794708,26.05355601957008,52995
"IV","restricted_contributions_q100","var4",-31.2211783678456,9.3389225,.00083472754,49.794708,26.05355601957008,52995
