model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyhu","total_contributions_q100","var3",-2.657994954104617,.98556882,.0070228674,50.301693,,52995
"OLS","fyhu","total_contributions_q100","var5",9.17895740297539,2.6863484,.00063864922,50.301693,,52995
"OLS","fyhu","total_contributions_q100","var4",-12.00980585667285,2.3349442,2.8034378e-07,50.301693,,52995
"IV","fyhu","total_contributions_q100","var3",-17.35999037759864,8.716362,.046465222,50.301693,26.05355603801712,52995
"IV","fyhu","total_contributions_q100","var5",31.84583315094161,12.283092,.0095525673,50.301693,26.05355603801712,52995
"IV","fyhu","total_contributions_q100","var4",-28.78591496272843,9.5424223,.0025693995,50.301693,26.05355603801712,52995
"OLS","fyhu","restricted_contributions_q100","var3",-1.961222056911687,.99326128,.048378751,49.794708,,52995
"OLS","fyhu","restricted_contributions_q100","var5",8.304345372507745,2.6182249,.0015247645,49.794708,,52995
"OLS","fyhu","restricted_contributions_q100","var4",-11.50695403628268,2.2905922,5.2552019e-07,49.794708,,52995
"IV","fyhu","restricted_contributions_q100","var3",-19.25305762400499,8.8849459,.030289009,49.794708,26.05355603801714,52995
"IV","fyhu","restricted_contributions_q100","var5",34.94444545469468,12.129029,.0039809188,49.794708,26.05355603801714,52995
"IV","fyhu","restricted_contributions_q100","var4",-31.22117836784469,9.3389225,.00083472754,49.794708,26.05355603801714,52995
"OLS","firmbyuseryh","total_contributions_q100","var3",-2.79229087159595,.98595017,.0046437993,50.301693,,52718
"OLS","firmbyuseryh","total_contributions_q100","var5",9.773255888112249,2.6826656,.00027219325,50.301693,,52718
"OLS","firmbyuseryh","total_contributions_q100","var4",-12.85104507968378,2.3330824,3.8139422e-08,50.301693,,52718
"IV","firmbyuseryh","total_contributions_q100","var3",-19.29558249684371,8.7924824,.028243126,50.301693,25.60134571393167,52718
"IV","firmbyuseryh","total_contributions_q100","var5",33.6675658889686,12.315475,.0062844176,50.301693,25.60134571393167,52718
"IV","firmbyuseryh","total_contributions_q100","var4",-30.34950346793147,9.5639009,.0015164398,50.301693,25.60134571393167,52718
"OLS","firmbyuseryh","restricted_contributions_q100","var3",-2.114180535984556,.99324566,.033341471,49.794708,,52718
"OLS","firmbyuseryh","restricted_contributions_q100","var5",8.908258990973888,2.6077342,.00064052036,49.794708,,52718
"OLS","firmbyuseryh","restricted_contributions_q100","var4",-12.34054301186765,2.2813537,6.6328617e-08,49.794708,,52718
"IV","firmbyuseryh","restricted_contributions_q100","var3",-19.96103238091024,8.9351282,.02552909,49.794708,25.60134571393167,52718
"IV","firmbyuseryh","restricted_contributions_q100","var5",35.44265415269358,12.127621,.0034887765,49.794708,25.60134571393167,52718
"IV","firmbyuseryh","restricted_contributions_q100","var4",-31.86710122932118,9.3358412,.00064682914,49.794708,25.60134571393167,52718
