model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyhu","total_contributions_q100","var3",.4767274757179533,.38909855,.22050221,35.40099,,518971
"OLS","fyhu","total_contributions_q100","var5",-3.5620058972261,1.5518227,.021716347,35.40099,,518971
"OLS","fyhu","total_contributions_q100","var4",1.413221778122345,1.3547709,.29688671,35.40099,,518971
"IV","fyhu","total_contributions_q100","var3",16.6425326067537,3.2901702,4.2468454e-07,35.40099,275.7157169813611,518971
"IV","fyhu","total_contributions_q100","var5",-8.517346439593704,7.8397017,.277291,35.40099,275.7157169813611,518971
"IV","fyhu","total_contributions_q100","var4",1.737097647445536,6.3162227,.78330088,35.40099,275.7157169813611,518971
"OLS","firmbyuseryh","total_contributions_q100","var3",.5051295153299252,.39516374,.20115735,35.40099,,516316
"OLS","firmbyuseryh","total_contributions_q100","var5",-3.718969514696387,1.599448,.020067727,35.40099,,516316
"OLS","firmbyuseryh","total_contributions_q100","var4",1.332519767434744,1.4000365,.34121594,35.40099,,516316
"IV","firmbyuseryh","total_contributions_q100","var3",15.11129548882318,3.2860086,4.2628285e-06,35.40099,265.7157318411648,516316
"IV","firmbyuseryh","total_contributions_q100","var5",-10.61440694691482,7.9846492,.18373838,35.40099,265.7157318411648,516316
"IV","firmbyuseryh","total_contributions_q100","var4",3.649399198356851,6.4607434,.57217342,35.40099,265.7157318411648,516316
"OLS","fyh","total_contributions_q100","var3",.6127972995887467,.41055518,.13554692,35.40099,,518973
"OLS","fyh","total_contributions_q100","var5",-2.096902901839375,1.9419155,.2802316,35.40099,,518973
"OLS","fyh","total_contributions_q100","var4",-1.012700437913441,1.7034553,.55218208,35.40099,,518973
"IV","fyh","total_contributions_q100","var3",15.84644204974073,3.3917253,2.9897312e-06,35.40099,297.1030045953306,518973
"IV","fyh","total_contributions_q100","var5",20.4939918365819,10.784627,.057400275,35.40099,297.1030045953306,518973
"IV","fyh","total_contributions_q100","var4",-23.67157804681952,8.897624,.0078065433,35.40099,297.1030045953306,518973
"OLS","useryh","total_contributions_q100","var3",.5374401362683604,.37836465,.15548943,35.40099,,518995
"OLS","useryh","total_contributions_q100","var5",-.9459807719440604,1.4100622,.50230104,35.40099,,518995
"OLS","useryh","total_contributions_q100","var4",.0404227195073318,1.2362394,.97391546,35.40099,,518995
"IV","useryh","total_contributions_q100","var3",23.45957565519164,3.3244386,1.7284353e-12,35.40099,284.7102964805232,518995
"IV","useryh","total_contributions_q100","var5",-5.911072747371119,8.5582485,.48976552,35.40099,284.7102964805232,518995
"IV","useryh","total_contributions_q100","var4",-1.027063891383611,6.9312954,.8822031,35.40099,284.7102964805232,518995
"OLS","time","total_contributions_q100","var3",.7901812367490395,.41665938,.057904284,35.40099,,518997
"OLS","time","total_contributions_q100","var5",-2.303778928768779,2.0068448,.25099063,35.40099,,518997
"OLS","time","total_contributions_q100","var4",-1.547119043436323,1.7552809,.37810138,35.40099,,518997
"IV","time","total_contributions_q100","var3",-363.620616513008,153.20679,.017629514,35.40099,.0208579984073232,468691
"IV","time","total_contributions_q100","var5",7788.244189613572,25374.932,.75890058,35.40099,.0208579984073232,468691
"IV","time","total_contributions_q100","var4",-6514.973709689064,21503.967,.76191711,35.40099,.0208579984073232,468691
"OLS","firm","total_contributions_q100","var3",.644736044239265,.41075483,.11650626,35.40099,,518973
"OLS","firm","total_contributions_q100","var5",-2.223879657087105,1.9416118,.25205836,35.40099,,518973
"OLS","firm","total_contributions_q100","var4",-.827028100478206,1.7023349,.62709713,35.40099,,518973
"IV","firm","total_contributions_q100","var3",15.72825464052075,3.3915715,3.5367257e-06,35.40099,297.0830403374114,518973
"IV","firm","total_contributions_q100","var5",20.0839252091448,10.785432,.062590346,35.40099,297.0830403374114,518973
"IV","firm","total_contributions_q100","var4",-23.21180271634467,8.8982277,.009094554,35.40099,297.0830403374114,518973
"OLS","none","total_contributions_q100","var3",.8120510665833052,.41683751,.051406078,35.40099,,518997
"OLS","none","total_contributions_q100","var5",-2.387471785577668,2.0081959,.23449916,35.40099,,518997
"OLS","none","total_contributions_q100","var4",-1.462284016838554,1.756112,.40502793,35.40099,,518997
"IV","none","total_contributions_q100","var3",-365.2228930340097,153.72043,,35.40099,.0208178943309276,468691
"IV","none","total_contributions_q100","var5",7818.644688330004,25496.854,,35.40099,.0208178943309276,468691
"IV","none","total_contributions_q100","var4",-6540.210485873084,21606.506,,35.40099,.0208178943309276,468691
"OLS","industrytime","total_contributions_q100","var3",.425870035512899,.40163678,.28899711,35.40099,,515689
"OLS","industrytime","total_contributions_q100","var5",-3.839359976601719,1.5986234,.016324449,35.40099,,515689
"OLS","industrytime","total_contributions_q100","var4",1.780373261151882,1.4032391,.20453309,35.40099,,515689
"IV","industrytime","total_contributions_q100","var3",12.96144799702833,6.3320689,.040668257,35.40099,127.3140746809727,515689
"IV","industrytime","total_contributions_q100","var5",-9.988280662916507,7.3047175,.17151466,35.40099,127.3140746809727,515689
"IV","industrytime","total_contributions_q100","var4",3.830714342022656,5.8810992,.51481712,35.40099,127.3140746809727,515689
"OLS","msatime","total_contributions_q100","var3",.4040020831692623,.40882826,.32306218,35.40099,,518303
"OLS","msatime","total_contributions_q100","var5",-3.469915529395454,1.5673947,.026846556,35.40099,,518303
"OLS","msatime","total_contributions_q100","var4",1.403283049063115,1.3678343,.30493647,35.40099,,518303
"IV","msatime","total_contributions_q100","var3",16.57087968000955,3.2377775,3.1003597e-07,35.40099,304.4558913929529,518303
"IV","msatime","total_contributions_q100","var5",-10.52447637379045,7.9856124,.18753356,35.40099,304.4558913929529,518303
"IV","msatime","total_contributions_q100","var4",3.61239283290397,6.4277201,.57411718,35.40099,304.4558913929529,518303
"OLS","msaindustrytime","total_contributions_q100","var3",.1055969199387375,.45673096,.81715924,35.40099,,508382
"OLS","msaindustrytime","total_contributions_q100","var5",-3.502184634758622,1.6931942,.038608957,35.40099,,508382
"OLS","msaindustrytime","total_contributions_q100","var4",1.674621327546891,1.4790609,.25754806,35.40099,,508382
"IV","msaindustrytime","total_contributions_q100","var3",7.209217446006748,8.6272964,.40336809,35.40099,77.37304455676814,508382
