fe_tag,outcome,endovar,param,coef,se,pval,partialF,rkf,nobs
"fyhu","total_contributions_q100","var3","var6",.1371284278976901,.008568556,0,189.9298675116669,128.02827,519099
"fyhu","total_contributions_q100","var3","var7",.1384961951813226,.02628725,1.3754628e-07,189.9298675116669,128.02827,519099
"fyhu","total_contributions_q100","var3","var4",.144619378098879,.017569633,1.8575274e-16,189.9298675116669,128.02827,519099
"fyhu","total_contributions_q100","var5","var6",.0000231338752449,.00011939147,.84636003,62.08656060776201,128.02827,519099
"fyhu","total_contributions_q100","var5","var7",.2752028314063272,.024735017,9.4412691e-29,62.08656060776201,128.02827,519099
"fyhu","total_contributions_q100","var5","var4",.6643211848846293,.016619343,0,62.08656060776201,128.02827,519099
"firmbyuseryh","total_contributions_q100","var3","var6",.1383784652534083,.0089019956,0,178.1792652922377,120.82133,516442
"firmbyuseryh","total_contributions_q100","var3","var7",.1384497809228026,.027335543,4.0891325e-07,178.1792652922377,120.82133,516442
"firmbyuseryh","total_contributions_q100","var3","var4",.1462531375062564,.018309234,1.3748641e-15,178.1792652922377,120.82133,516442
"firmbyuseryh","total_contributions_q100","var5","var6",-1.64753202771e-06,9.6764154e-07,.088638626,59.30217065459185,120.82133,516442
"firmbyuseryh","total_contributions_q100","var5","var7",.2767401264050363,.025845136,9.4340700e-27,59.30217065459185,120.82133,516442
"firmbyuseryh","total_contributions_q100","var5","var4",.6649147156130647,.017414503,0,59.30217065459185,120.82133,516442
"fyh","total_contributions_q100","var3","var6",.1383135190836173,.008260238,0,205.8916361258856,140.19212,519099
"fyh","total_contributions_q100","var3","var7",.1330487427651431,.025126942,1.1902372e-07,205.8916361258856,140.19212,519099
"fyh","total_contributions_q100","var3","var4",.1465628665466245,.016809221,2.8099274e-18,205.8916361258856,140.19212,519099
"fyh","total_contributions_q100","var5","var6",-1.39347868923e-06,9.1630523e-07,.12832114,66.87193129340072,140.19212,519099
"fyh","total_contributions_q100","var5","var7",.2713145912301391,.023718841,2.6988419e-30,66.87193129340072,140.19212,519099
"fyh","total_contributions_q100","var5","var4",.6668344782294546,.015963091,0,66.87193129340072,140.19212,519099
