model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyhu","total_contributions_q100","var3",-.9685349016218959,.79069275,.22066544,85.657608,,52995
"OLS","fyhu","total_contributions_q100","var5",4.379824581420247,1.9596688,.025464168,85.657608,,52995
"OLS","fyhu","total_contributions_q100","var4",-6.00310876709201,1.7336953,.00053961662,85.657608,,52995
"IV","fyhu","total_contributions_q100","var3",-6.170255873720182,7.4979033,.41058803,85.657608,26.05355604337695,52995
"IV","fyhu","total_contributions_q100","var5",16.93540238694491,9.3697786,.070754528,85.657608,26.05355604337695,52995
"IV","fyhu","total_contributions_q100","var4",-15.87900135563414,7.0676398,.024703072,85.657608,26.05355604337695,52995
"OLS","firmbyuseryh","total_contributions_q100","var3",-1.16313381015349,.78769964,.13984261,85.657608,,52718
"OLS","firmbyuseryh","total_contributions_q100","var5",4.78796033665365,1.9234557,.012834804,85.657608,,52718
"OLS","firmbyuseryh","total_contributions_q100","var4",-6.568816174948541,1.7027946,.00011596878,85.657608,,52718
"IV","firmbyuseryh","total_contributions_q100","var3",-7.341929744560933,7.4785328,.32628021,85.657608,25.60134571393153,52718
"IV","firmbyuseryh","total_contributions_q100","var5",17.23869482425827,9.2959251,.063737907,85.657608,25.60134571393153,52718
"IV","firmbyuseryh","total_contributions_q100","var4",-16.16448088469283,7.0021896,.021014052,85.657608,25.60134571393153,52718
"OLS","fyh","total_contributions_q100","var3",-.7515683659393286,.80993527,.35348704,85.657608,,52995
"OLS","fyh","total_contributions_q100","var5",3.224468821129471,2.13115,.13034062,85.657608,,52995
"OLS","fyh","total_contributions_q100","var4",-5.065326465175753,1.9019941,.0077666547,85.657608,,52995
"IV","fyh","total_contributions_q100","var3",-5.661357266996173,7.984211,.47831592,85.657608,27.40783333863787,52995
"IV","fyh","total_contributions_q100","var5",17.9250237054083,10.130464,.076887399,85.657608,27.40783333863787,52995
"IV","fyh","total_contributions_q100","var4",-16.85506002085307,7.6975036,.028595321,85.657608,27.40783333863787,52995
"OLS","useryh","total_contributions_q100","var3",.4231200243038487,.82366168,.60748106,85.657608,,53020
"OLS","useryh","total_contributions_q100","var5",.8170314387645168,2.0552855,.69099647,85.657608,,53020
"OLS","useryh","total_contributions_q100","var4",-1.245145379665196,1.8261338,.49536797,85.657608,,53020
"IV","useryh","total_contributions_q100","var3",10.47445241180201,7.7765622,.17806746,85.657608,29.95510168756568,53020
