model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyhu","total_contributions_q100","var3",-1.034994963438692,.48185697,.031726029,49.908962,,229710
"OLS","fyhu","total_contributions_q100","var5",5.245277868065608,1.2365696,.000022229389,49.908962,,229710
"OLS","fyhu","total_contributions_q100","var4",-5.562458755119967,1.0660779,1.8218218e-07,49.908962,,229710
"IV","fyhu","total_contributions_q100","var3",-4.574851355064523,3.3941309,.17770836,49.908962,180.1269875719657,229710
"IV","fyhu","total_contributions_q100","var5",9.778056241991516,5.440515,.072301723,49.908962,180.1269875719657,229710
"IV","fyhu","total_contributions_q100","var4",-8.711397734055321,4.2481337,.040309176,49.908962,180.1269875719657,229710
"OLS","firmbyuseryh","total_contributions_q100","var3",-1.23658991701512,.49594137,.012656445,49.908962,,224564
"OLS","firmbyuseryh","total_contributions_q100","var5",6.278956910323447,1.2712659,7.8825263e-07,49.908962,,224564
"OLS","firmbyuseryh","total_contributions_q100","var4",-6.745554014695921,1.0968952,7.8467277e-10,49.908962,,224564
"IV","firmbyuseryh","total_contributions_q100","var3",-5.903450732703944,3.4327395,.085486777,49.908962,163.5042962864813,224564
"IV","firmbyuseryh","total_contributions_q100","var5",9.572074606981539,5.4126191,.076990336,49.908962,163.5042962864813,224564
"IV","firmbyuseryh","total_contributions_q100","var4",-8.62347807123661,4.2202244,.041023239,49.908962,163.5042962864813,224564
"OLS","fyh","total_contributions_q100","var3",-.3477993626471768,.51913512,.5028879,49.908962,,231085
"OLS","fyh","total_contributions_q100","var5",2.828163897735327,1.3236895,.032638963,49.908962,,231085
"OLS","fyh","total_contributions_q100","var4",-3.652131346289846,1.1435257,.0014055655,49.908962,,231085
"IV","fyh","total_contributions_q100","var3",-1.026128953049566,3.6152003,.77653658,49.908962,238.0612222666579,231085
"IV","fyh","total_contributions_q100","var5",5.200984390229354,6.0261931,.38810837,49.908962,238.0612222666579,231085
"IV","fyh","total_contributions_q100","var4",-5.5283341111169,4.7233057,.24183246,49.908962,238.0612222666579,231085
"OLS","useryh","total_contributions_q100","var3",1.2171390717842,.48935825,.012879282,49.908962,,229760
"OLS","useryh","total_contributions_q100","var5",.4927694488361543,1.3008652,.70483762,49.908962,,229760
"OLS","useryh","total_contributions_q100","var4",1.865817995462125,1.1296775,.098617211,49.908962,,229760
"IV","useryh","total_contributions_q100","var3",14.16772630457297,3.5240788,.000058252099,49.908962,193.6829186102408,229760
"IV","useryh","total_contributions_q100","var5",-15.77026638781739,6.457562,.014605313,49.908962,193.6829186102408,229760
"IV","useryh","total_contributions_q100","var4",13.17634195985201,5.165051,.010743787,49.908962,193.6829186102408,229760
"OLS","time","total_contributions_q100","var3",.7074123556021525,.56956428,.21423563,49.908962,,231155
"OLS","time","total_contributions_q100","var5",2.459767131456408,1.4544262,.090801544,49.908962,,231155
"OLS","time","total_contributions_q100","var4",-3.99537428808922,1.2575562,.0014888037,49.908962,,231155
"IV","time","total_contributions_q100","var3",-170.5406550757524,43.977512,.00010554818,49.908962,.0661458821890043,215961
"IV","time","total_contributions_q100","var5",4711.525535047192,8907.876,.59686643,49.908962,.0661458821890043,215961
"IV","time","total_contributions_q100","var4",-3984.71158457328,7594.5674,.59980947,49.908962,.0661458821890043,215961
"OLS","firm","total_contributions_q100","var3",-.3312445261953615,.51896805,.52329838,49.908962,,231085
"OLS","firm","total_contributions_q100","var5",2.810692248855329,1.3230909,.033648472,49.908962,,231085
"OLS","firm","total_contributions_q100","var4",-3.614646277590966,1.1429429,.001565046,49.908962,,231085
"IV","firm","total_contributions_q100","var3",-.9568118491360347,3.6129751,.79114455,49.908962,238.2769265342041,231085
"IV","firm","total_contributions_q100","var5",5.186803683201938,6.0219264,.38906756,49.908962,238.2769265342041,231085
"IV","firm","total_contributions_q100","var4",-5.503843942584189,4.7194686,.24354112,49.908962,238.2769265342041,231085
"OLS","none","total_contributions_q100","var3",.7534007210574634,.56973875,.18605588,49.908962,,231155
"OLS","none","total_contributions_q100","var5",2.406795119011355,1.4546573,.098025404,49.908962,,231155
"OLS","none","total_contributions_q100","var4",-3.890885943379942,1.2577349,.0019791308,49.908962,,231155
"IV","none","total_contributions_q100","var3",-163.8658289594801,41.330769,,49.908962,.0669884521353792,215961
"IV","none","total_contributions_q100","var5",4676.397813240927,8783.1025,,49.908962,.0669884521353792,215961
"IV","none","total_contributions_q100","var4",-3955.713490100133,7490.124,,49.908962,.0669884521353792,215961
"OLS","industrytime","total_contributions_q100","var3",-.936763633073014,.49347967,.057667036,49.908962,,227677
"OLS","industrytime","total_contributions_q100","var5",5.479444377042177,1.2872159,.000020788839,49.908962,,227677
"OLS","industrytime","total_contributions_q100","var4",-5.712832643403824,1.1214542,3.5213890e-07,49.908962,,227677
"IV","industrytime","total_contributions_q100","var3",1.607477513562024,4.7611504,.73564875,49.908962,144.1994552230463,227677
"IV","industrytime","total_contributions_q100","var5",8.52913502661683,4.9796124,.086756043,49.908962,144.1994552230463,227677
"IV","industrytime","total_contributions_q100","var4",-8.893982551438764,3.9046135,.022743588,49.908962,144.1994552230463,227677
"OLS","msatime","total_contributions_q100","var3",-.6686805731825729,.50417227,.18475085,49.908962,,228891
"OLS","msatime","total_contributions_q100","var5",4.912308138009665,1.2536962,.000089356385,49.908962,,228891
"OLS","msatime","total_contributions_q100","var4",-4.992901484692185,1.0863146,4.3177133e-06,49.908962,,228891
"IV","msatime","total_contributions_q100","var3",-1.314566390072297,3.9253495,.73770887,49.908962,140.9873422187821,228891
"IV","msatime","total_contributions_q100","var5",7.225441199529455,6.1143794,.23732749,49.908962,140.9873422187821,228891
"IV","msatime","total_contributions_q100","var4",-6.834644571363354,4.7164335,.14731483,49.908962,140.9873422187821,228891
"OLS","msaindustrytime","total_contributions_q100","var3",-.5028979741483226,.54944015,.36004487,49.908962,,222715
"OLS","msaindustrytime","total_contributions_q100","var5",4.741129327735337,1.3835222,.00061131798,49.908962,,222715
"OLS","msaindustrytime","total_contributions_q100","var4",-4.551261079907475,1.2076241,.00016432123,49.908962,,222715
"IV","msaindustrytime","total_contributions_q100","var3",-3.628751150995172,7.3639016,.6221742,49.908962,62.95611606202728,222715
"IV","msaindustrytime","total_contributions_q100","var5",8.233764660631323,6.4712667,.20325461,49.908962,62.95611606202728,222715
"IV","msaindustrytime","total_contributions_q100","var4",-6.909430929371601,4.9663634,.16415985,49.908962,62.95611606202728,222715
