fe_tag,outcome,endovar,param,coef,se,pval,partialF,rkf,nobs
"fyhu","total_contributions_q100","var3","var6",.2326682576279641,.012296747,0,277.8827433567463,180.12698,229710
"fyhu","total_contributions_q100","var3","var7",.0924879053774706,.026176,.00041047329,277.8827433567463,180.12698,229710
"fyhu","total_contributions_q100","var3","var4",.1135290385084074,.022030286,2.5613261e-07,277.8827433567463,180.12698,229710
"fyhu","total_contributions_q100","var5","var6",-.0006356838871027,.0003536068,.072223678,100.7433493662055,180.12698,229710
"fyhu","total_contributions_q100","var5","var7",.3249353125456406,.02307467,0,100.7433493662055,180.12698,229710
"fyhu","total_contributions_q100","var5","var4",.5825156705759882,.019755766,0,100.7433493662055,180.12698,229710
"firmbyuseryh","total_contributions_q100","var3","var6",.2412352673618202,.013343734,0,255.3494336134782,163.5043,224564
"firmbyuseryh","total_contributions_q100","var3","var7",.0928900906773105,.028021608,.00091675628,255.3494336134782,163.5043,224564
"firmbyuseryh","total_contributions_q100","var3","var4",.1144436340307983,.02362212,1.2684546e-06,255.3494336134782,163.5043,224564
"firmbyuseryh","total_contributions_q100","var5","var6",-.0000676915754147,.000029024397,.019689461,96.02724536170284,163.5043,224564
"firmbyuseryh","total_contributions_q100","var5","var7",.3341417673942848,.024633257,0,96.02724536170284,163.5043,224564
"firmbyuseryh","total_contributions_q100","var5","var4",.5767121196141521,.021117782,0,96.02724536170284,163.5043,224564
"fyh","total_contributions_q100","var3","var6",.2305057679064154,.010565126,0,351.7294229675114,238.06122,231085
"fyh","total_contributions_q100","var3","var7",.0794069815311341,.02320797,.00062278571,351.7294229675114,238.06122,231085
"fyh","total_contributions_q100","var3","var4",.1237298758578101,.019501118,2.2318895e-10,351.7294229675114,238.06122,231085
"fyh","total_contributions_q100","var5","var6",-.0000291149055564,.000014038356,.03808469,115.0206605121261,238.06122,231085
"fyh","total_contributions_q100","var5","var7",.3099395724297636,.020631174,0,115.0206605121261,238.06122,231085
"fyh","total_contributions_q100","var5","var4",.5936899093014634,.017618332,0,115.0206605121261,238.06122,231085
"useryh","total_contributions_q100","var3","var6",.228139000132886,.011632283,0,275.1293936537452,193.68292,229760
"useryh","total_contributions_q100","var3","var7",.0465386149752594,.024484137,.057333928,275.1293936537452,193.68292,229760
