model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","fyhu","total_contributions_q100","var3",.3223180952487163,.25433677,.20505381,38.957355,,1226437
"OLS","fyhu","total_contributions_q100","var5",-.4054471835822637,.80943125,.61643946,38.957355,,1226437
"OLS","fyhu","total_contributions_q100","var4",-.3104058371279613,.69507122,.65517795,38.957355,,1226437
"IV","fyhu","total_contributions_q100","var3",18.02349189356554,2.7742467,8.2315571e-11,38.957355,382.3834793526524,1226437
"IV","fyhu","total_contributions_q100","var5",-14.02266577655241,4.1976786,.00083622517,38.957355,382.3834793526524,1226437
"IV","fyhu","total_contributions_q100","var4",7.10793778767205,3.1358767,.023412799,38.957355,382.3834793526524,1226437
"OLS","firmbyuseryh","total_contributions_q100","var3",.2682452729082431,.26232934,.30652136,38.957355,,1209494
"OLS","firmbyuseryh","total_contributions_q100","var5",.1944828735920024,.83907783,.81670785,38.957355,,1209494
"OLS","firmbyuseryh","total_contributions_q100","var4",-1.041445210605618,.72071075,.14845262,38.957355,,1209494
"IV","firmbyuseryh","total_contributions_q100","var3",15.21810907768458,2.8552051,9.8362406e-08,38.957355,329.9156487187377,1209494
"IV","firmbyuseryh","total_contributions_q100","var5",-12.5265898011122,4.2452831,.0031708963,38.957355,329.9156487187377,1209494
"IV","firmbyuseryh","total_contributions_q100","var4",6.229553457747246,3.1622975,.048846237,38.957355,329.9156487187377,1209494
"OLS","fyh","total_contributions_q100","var3",.3344855138197976,.29014644,.24898739,38.957355,,1231616
"OLS","fyh","total_contributions_q100","var5",-.6922988744357091,1.0992144,.52881813,38.957355,,1231616
"OLS","fyh","total_contributions_q100","var4",-.5572911955944081,.9503926,.55762094,38.957355,,1231616
"IV","fyh","total_contributions_q100","var3",15.52046239368184,2.8619509,5.8671720e-08,38.957355,607.2913512775224,1231616
"IV","fyh","total_contributions_q100","var5",-.2713738188336626,5.5304947,.96086466,38.957355,607.2913512775224,1231616
"IV","fyh","total_contributions_q100","var4",-4.28460377386199,4.3496089,.32459843,38.957355,607.2913512775224,1231616
"OLS","useryh","total_contributions_q100","var3",.6093411243173311,.24486108,.012828627,38.957355,,1226459
"OLS","useryh","total_contributions_q100","var5",.1747513680515986,.74397445,.81429523,38.957355,,1226459
"OLS","useryh","total_contributions_q100","var4",.7667013207106166,.63841641,.22977521,38.957355,,1226459
"IV","useryh","total_contributions_q100","var3",28.39056419994336,2.7091672,1.0931046e-25,38.957355,432.8461886552698,1226459
"IV","useryh","total_contributions_q100","var5",-20.71230058168449,4.1287999,5.2661960e-07,38.957355,432.8461886552698,1226459
"IV","useryh","total_contributions_q100","var4",12.21377996231282,3.0994222,.000081288643,38.957355,432.8461886552698,1226459
"OLS","time","total_contributions_q100","var3",1.001085755126851,.30350596,.00097254763,38.957355,,1231650
"OLS","time","total_contributions_q100","var5",-.8336700990267759,1.1513824,.46902978,38.957355,,1231650
