fe_tag,outcome,endovar,param,coef,se,pval,partialF,rkf,nobs
"fyhu","total_contributions_q100","var3","var6",.1545748426132492,.0055951606,0,698.8247924433141,382.38348,1226437
"fyhu","total_contributions_q100","var3","var7",.1865902763555448,.014678828,5.1306344e-37,698.8247924433141,382.38348,1226437
"fyhu","total_contributions_q100","var3","var4",.0995215356313177,.0097507341,1.8572257e-24,698.8247924433141,382.38348,1226437
"fyhu","total_contributions_q100","var5","var6",-.0001139367087117,.00012429191,.35930717,317.9286051378663,382.38348,1226437
"fyhu","total_contributions_q100","var5","var7",.339780314545587,.013476563,0,317.9286051378663,382.38348,1226437
"fyhu","total_contributions_q100","var5","var4",.6159322804227952,.0090234848,0,317.9286051378663,382.38348,1226437
"firmbyuseryh","total_contributions_q100","var3","var6",.1549536670322246,.0060325903,0,614.5002955069991,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var3","var7",.1924289932886588,.015760742,2.7826406e-34,614.5002955069991,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var3","var4",.0983010750770114,.010477684,6.4871603e-21,614.5002955069991,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var5","var6",-6.08043047817e-06,2.8533223e-06,.033089317,285.3599706219744,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var5","var7",.3471734644093425,.014560934,0,285.3599706219744,329.91565,1209494
"firmbyuseryh","total_contributions_q100","var5","var4",.6129907122987509,.0097583933,0,285.3599706219744,329.91565,1209494
"fyh","total_contributions_q100","var3","var6",.1629277243537119,.0046750708,0,1007.491527345564,607.29132,1231616
"fyh","total_contributions_q100","var3","var7",.1678675958353989,.012624606,0,1007.491527345564,607.29132,1231616
"fyh","total_contributions_q100","var3","var4",.1099979026459204,.0084064491,0,1007.491527345564,607.29132,1231616
"fyh","total_contributions_q100","var5","var6",-2.29159012452e-06,1.5668667e-06,.14359619,399.795748925173,607.29132,1231616
"fyh","total_contributions_q100","var5","var7",.3307235627310411,.011718345,0,399.795748925173,607.29132,1231616
"fyh","total_contributions_q100","var5","var4",.6228055845136454,.0078682024,0,399.795748925173,607.29132,1231616
"useryh","total_contributions_q100","var3","var6",.1577239812294239,.0053894985,0,750.8642459535514,432.84619,1226459
