model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",-2.669891792040859,.98574513,.0067826831,50.276871,,52949
"OLS","total_contributions_q100","var5",9.341691548425549,2.6858752,.00050948601,50.276871,,52949
"OLS","total_contributions_q100","var4",-12.0834728508368,2.3345392,2.3596736e-07,50.276871,,52949
"IV","total_contributions_q100","var3",-16.1417265999771,6.6300077,.014942424,50.276871,44.52539181939866,52949
"IV","total_contributions_q100","var5",26.31161047299896,12.969976,.042548336,50.276871,44.52539181939866,52949
"IV","total_contributions_q100","var4",-24.15173983011926,10.660872,.023528911,50.276871,44.52539181939866,52949
"OLS","restricted_contributions_q100","var3",-1.970809760884256,.99345785,.047336172,49.76656,,52949
"OLS","restricted_contributions_q100","var5",8.455521658661766,2.6178041,.0012461958,49.76656,,52949
"OLS","restricted_contributions_q100","var4",-11.57549122793711,2.2902291,4.4798585e-07,49.76656,,52949
"IV","restricted_contributions_q100","var3",-15.47591739922112,6.632391,.019668935,49.76656,44.52539181645752,52949
"IV","restricted_contributions_q100","var5",26.03216022947393,12.487885,.03715881,49.76656,44.52539181645752,52949
"IV","restricted_contributions_q100","var4",-24.1639743978385,10.210452,.017992059,49.76656,44.52539181645752,52949
"OLS","total_contributions_we","var3",-38.19861355694375,12.266731,.0018565248,325.05331,,52949
"OLS","total_contributions_we","var5",143.1832550004573,40.424088,.00040082471,325.05331,,52949
"OLS","total_contributions_we","var4",-173.9434515033699,35.54681,1.0236209e-06,325.05331,,52949
"IV","total_contributions_we","var3",-197.1325386291244,75.856613,.0093848584,325.05331,44.52539181939866,52949
"IV","total_contributions_we","var5",276.8552088045074,180.60468,.12535758,325.05331,44.52539181939866,52949
"IV","total_contributions_we","var4",-258.5517024661387,150.82475,.086546727,325.05331,44.52539181939866,52949
"OLS","restricted_contributions_we","var3",-37.68851670210258,10.333961,.00026806837,251.37643,,52949
"OLS","restricted_contributions_we","var5",131.6256960403298,36.060066,.00026483697,251.37643,,52949
"OLS","restricted_contributions_we","var4",-161.1988066736801,31.752203,3.9836300e-07,251.37643,,52949
"IV","restricted_contributions_we","var3",-150.6845386439034,63.535652,.017747805,251.37643,44.52539181645752,52949
"IV","restricted_contributions_we","var5",259.7945827889538,165.3177,.11613534,251.37643,44.52539181645752,52949
"IV","restricted_contributions_we","var4",-250.1208973830938,139.06076,.072137497,251.37643,44.52539181645752,52949
