model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",-.8558644557515117,.30975932,.0057302592,49.920048,,224708
"OLS","baseline","var5",3.39315505762337,.7075814,1.6298633e-06,49.920048,,224708
"IV","baseline","var3",-4.108657756612696,1.7663928,.020023307,49.920048,311.5123,224708
"IV","baseline","var5",5.609266873479417,2.448735,.021987792,49.920048,311.5123,224708
"OLS","rent","var3",-.7083360299260668,.31959274,.0266726,49.920048,,218112
"OLS","rent","var5",2.789896131783737,.71575242,.000097233227,49.920048,,218112
"IV","rent","var3",-3.746162088042067,1.9598863,.055959139,49.920048,247.30312,218112
"IV","rent","var5",4.971960612831926,2.6754751,.063128285,49.920048,247.30312,218112
"OLS","hhi","var3",-.8438907302613088,.30994636,.0064782626,49.920048,,224596
"OLS","hhi","var5",3.504399519280442,.7162047,9.9738440e-07,49.920048,,224596
"IV","hhi","var3",-4.290191450361758,1.7208605,.012669616,49.920048,326.09479,224596
"IV","hhi","var5",6.735428912083801,2.5544341,.0083738565,49.920048,326.09479,224596
"OLS","seniority","var3",-.8240571905620275,.31099898,.0080596516,49.920048,,224708
"OLS","seniority","var5",3.353732577414362,.71349108,2.6055670e-06,49.920048,,224708
"IV","seniority","var3",-4.096969974556537,1.8027322,.023053551,49.920048,299.85538,224708
"IV","seniority","var5",5.5269932652868,2.507026,.027488466,49.920048,299.85538,224708
"OLS","gap","var3",-.8160021614930058,.31027073,.0085429708,49.920048,,224708
"OLS","gap","var5",3.438399128502231,.70913172,1.2476999e-06,49.920048,,224708
"IV","gap","var3",-4.080842123354079,1.7692292,.021084819,49.920048,313.1463,224708
"IV","gap","var5",5.721057956862365,2.4721904,.020664319,49.920048,313.1463,224708
"OLS","rent_hhi","var3",-.704033655156965,.31959352,.027608136,49.920048,,218032
"OLS","rent_hhi","var5",2.900023796073083,.7248559,.000063252657,49.920048,,218032
"IV","rent_hhi","var3",-3.976892216280624,1.9244576,.038788695,49.920048,253.61345,218032
"IV","rent_hhi","var5",6.083807515568605,2.8267932,.031388976,49.920048,253.61345,218032
"OLS","rent_seniority","var3",-.6738839315047297,.32088876,.035731263,49.920048,,218112
"OLS","rent_seniority","var5",2.752129343888044,.7212044,.00013585846,49.920048,,218112
"IV","rent_seniority","var3",-3.720921371298243,2.0069385,.063743576,49.920048,236.7338,218112
"IV","rent_seniority","var5",4.907235771651052,2.7361741,.072907157,49.920048,236.7338,218112
