model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",-1.032797643184198,.48182631,.032079194,49.920048,,229862
"OLS","total_contributions_q100","var5",5.175072567326991,1.2362417,.000028442397,49.920048,,229862
"OLS","total_contributions_q100","var4",-5.526523659034345,1.0658239,2.1694051e-07,49.920048,,229862
"IV","total_contributions_q100","var3",-7.151334050064679,3.898685,.066618681,49.920048,140.5966416744945,229862
"IV","total_contributions_q100","var5",9.937200707172805,5.3707223,.064285181,49.920048,140.5966416744945,229862
"IV","total_contributions_q100","var4",-8.364158847683488,4.04877,.038849656,49.920048,140.5966416744945,229862
"OLS","restricted_contributions_q100","var3",-1.435273454995823,.50429678,.0044284994,48.480015,,229862
"OLS","restricted_contributions_q100","var5",6.367404711581911,1.2447777,3.1486564e-07,48.480015,,229862
"OLS","restricted_contributions_q100","var4",-6.888813615706007,1.0726851,1.3615455e-10,48.480015,,229862
"IV","restricted_contributions_q100","var3",-6.597323790333392,4.0804443,.10592702,48.480015,140.5966416866931,229862
"IV","restricted_contributions_q100","var5",9.071866525230801,5.4333329,.094993666,48.480015,140.5966416866931,229862
"IV","restricted_contributions_q100","var4",-8.169150437090376,4.0493417,.043661017,48.480015,140.5966416866931,229862
"OLS","total_contributions_we","var3",-17.7468817563396,4.4669342,.000071128576,184.71271,,229862
"OLS","total_contributions_we","var5",52.556295794871,13.554105,.00010571562,184.71271,,229862
"OLS","total_contributions_we","var4",-56.41912498085098,11.694135,1.4088537e-06,184.71271,,229862
"IV","total_contributions_we","var3",-105.7831959087516,32.276405,.0010486181,184.71271,140.5966416744945,229862
"IV","total_contributions_we","var5",104.4112864965043,54.000652,.053180173,184.71271,140.5966416744945,229862
"IV","total_contributions_we","var4",-83.11551846395658,42.46669,.050332516,184.71271,140.5966416744945,229862
"OLS","restricted_contributions_we","var3",-16.08984574437989,3.7575085,.000018565976,138.15369,,229862
"OLS","restricted_contributions_we","var5",48.6019790397656,12.150031,.00006342883,138.15369,,229862
"OLS","restricted_contributions_we","var4",-52.52436570047499,10.524514,6.0452413e-07,138.15369,,229862
"IV","restricted_contributions_we","var3",-100.6075442278284,26.910177,.00018530434,138.15369,140.5966416744944,229862
"IV","restricted_contributions_we","var5",92.21610682969157,48.061096,.055026878,138.15369,140.5966416744944,229862
"IV","restricted_contributions_we","var4",-72.92259350092897,38.265434,.056696612,138.15369,140.5966416744944,229862
