model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",.3200615003422807,.25432515,.20822224,38.951942,,1226001
"OLS","total_contributions_q100","var5",-.4033577439190195,.8099792,.61849505,38.951942,,1226001
"OLS","total_contributions_q100","var4",-.3042666682352775,.69538748,.66171318,38.951942,,1226001
"IV","total_contributions_q100","var3",14.89171912062764,2.0871534,9.7208212e-13,38.951942,664.975932138949,1226001
"IV","total_contributions_q100","var5",-10.07804762225362,3.8929844,.0096327085,38.951942,664.975932138949,1226001
"IV","total_contributions_q100","var4",4.521712767274698,3.0294292,.13554491,38.951942,664.975932138949,1226001
"OLS","restricted_contributions_q100","var3",-.2818787521361814,.11738359,.016335888,16.321867,,1226001
"OLS","restricted_contributions_q100","var5",1.934995125886963,.49418202,.000090232665,16.321867,,1226001
"OLS","restricted_contributions_q100","var4",-2.208936247162418,.42692992,2.2938927e-07,16.321867,,1226001
"IV","restricted_contributions_q100","var3",.00567389766065,.89639235,.99494964,16.321867,664.975932138949,1226001
"IV","restricted_contributions_q100","var5",4.605020193855103,2.1294415,.030577308,16.321867,664.975932138949,1226001
"IV","restricted_contributions_q100","var4",-4.501988004963981,1.7077252,.0083835833,16.321867,664.975932138949,1226001
"OLS","total_contributions_we","var3",-.5149783839465271,.52151465,.32341525,34.874866,,1226001
"OLS","total_contributions_we","var5",5.219754190540883,2.4726224,.034772079,34.874866,,1226001
"OLS","total_contributions_we","var4",-6.217417392945658,2.1255088,.0034434276,34.874866,,1226001
"IV","total_contributions_we","var3",-.3902443444300701,3.5785689,.91316265,34.874866,664.975932138949,1226001
"IV","total_contributions_we","var5",12.83099101794503,11.735326,.27423525,34.874866,664.975932138949,1226001
"IV","total_contributions_we","var4",-12.59902501553326,9.6143446,.19004866,34.874866,664.975932138949,1226001
"OLS","restricted_contributions_we","var3",-.2041037792851733,.29201195,.48457986,15.823865,,1226001
"OLS","restricted_contributions_we","var5",5.370986720349934,1.563285,.00059115305,15.823865,,1226001
"OLS","restricted_contributions_we","var4",-5.330786214127372,1.3454328,.000074312513,15.823865,,1226001
"IV","restricted_contributions_we","var3",-1.82665513890977,1.9907192,.35883719,15.823865,664.975932138949,1226001
"IV","restricted_contributions_we","var5",14.22374823393904,7.3176441,.051925965,15.823865,664.975932138949,1226001
"IV","restricted_contributions_we","var4",-12.35905663145448,6.0213938,.040120251,15.823865,664.975932138949,1226001
